Model,Model Id,Occupancy,Occupancy Id,Make,Make Id,Type,Type Id,TypeDetail,TypeDetail2,Suspension,Suspension Id,Color,Color Id,Canopy Top Color,Canopy Top Color Id,Subitem of,Subitem of Id,Child Item,MSRP
Adventurer 2+2,1,4-PASS,2,Yamaha,1,GAS,3,EFI,1,Lifted,1,Atomic Orange,1,Black,3,"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Atomic Orange,4-PASS,EFI,GAS,Lifted,CT_Black",14995.00
Adventurer 2+2,1,4-PASS,2,Yamaha,1,GAS,3,EFI,1,Lifted,1,Atomic Orange,1,Stone,4,"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Atomic Orange,4-PASS,EFI,GAS,Lifted,CT_Stone",14995.00
Adventurer 2+2,1,4-PASS,2,Yamaha,1,GAS,3,EFI,1,Lifted,1,Graphite Matte,2,Black,3,"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Graphite Matte,4-PASS,EFI,GAS,Lifted,CT_Black",14995.00
Adventurer 2+2,1,4-PASS,2,Yamaha,1,GAS,3,EFI,1,Lifted,1,Graphite Matte,2,Stone,4,"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Graphite Matte,4-PASS,EFI,GAS,Lifted,CT_Stone",14995.00
Adventurer 2+2,1,4-PASS,2,Yamaha,1,GAS,3,EFI,1,Lifted,1,Mica Matte,3,Black,3,"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Mica Matte,4-PASS,EFI,GAS,Lifted,CT_Black",14995.00
Adventurer 2+2,1,4-PASS,2,Yamaha,1,GAS,3,EFI,1,Lifted,1,Mica Matte,3,Stone,4,"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Mica Matte,4-PASS,EFI,GAS,Lifted,CT_Stone",14995.00
Adventurer 2+2,1,4-PASS,2,Yamaha,1,GAS,3,EFI,1,Lifted,1,White,4,Black,3,"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,White,4-PASS,EFI,GAS,Lifted,CT_Black",14995.00
Adventurer 2+2,1,4-PASS,2,Yamaha,1,GAS,3,EFI,1,Lifted,1,White,4,Stone,4,"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,White,4-PASS,EFI,GAS,Lifted,CT_Stone",14995.00
Adventurer 2+2,1,4-PASS,2,Yamaha,1,GAS,3,EFI,1,Lifted,1,Aqua Blue,5,Black,3,"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Aqua Blue,4-PASS,EFI,GAS,Lifted,CT_Black",14995.00
Adventurer 2+2,1,4-PASS,2,Yamaha,1,GAS,3,EFI,1,Lifted,1,Aqua Blue,5,Stone,4,"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Aqua Blue,4-PASS,EFI,GAS,Lifted,CT_Stone",14995.00
