Subitem of,Subitem of Id,Child Item,Child Item Id
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Atomic Orange,4-PASS,EFI,GAS,Lifted,CT_Black",2847
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Atomic Orange,4-PASS,EFI,GAS,Lifted,CT_Stone",2848
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Graphite Matte,4-PASS,EFI,GAS,Lifted,CT_Black",2849
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Graphite Matte,4-PASS,EFI,GAS,Lifted,CT_Stone",2850
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Mica Matte,4-PASS,EFI,GAS,Lifted,CT_Black",2851
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Mica Matte,4-PASS,EFI,GAS,Lifted,CT_Stone",2852
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,White,4-PASS,EFI,GAS,Lifted,CT_Black",2853
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,White,4-PASS,EFI,GAS,Lifted,CT_Stone",2854
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Aqua Blue,4-PASS,EFI,GAS,Lifted,CT_Black",2855
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Aqua Blue,4-PASS,EFI,GAS,Lifted,CT_Stone",2856
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Moonstone,4-PASS,EFI,GAS,Lifted,CT_Black",2857
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Moonstone,4-PASS,EFI,GAS,Lifted,CT_Stone",2858
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Bluestone,4-PASS,EFI,GAS,Lifted,CT_Black",2859
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Bluestone,4-PASS,EFI,GAS,Lifted,CT_Stone",2860
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Jasper,4-PASS,EFI,GAS,Lifted,CT_Black",2861
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Jasper,4-PASS,EFI,GAS,Lifted,CT_Stone",2862
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Black,4-PASS,EFI,GAS,Lifted,CT_Black",2863
"Yamaha,Adventurer 2+2,4-PASS,EFI,GAS,Lifted",2647,"Yamaha,Adventurer 2+2,Black,4-PASS,EFI,GAS,Lifted,CT_Stone",2864
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Atomic Orange,4-PASS,FLA,ELECTRIC,Lifted,CT_Black",2865
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Atomic Orange,4-PASS,FLA,ELECTRIC,Lifted,CT_Stone",2866
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Graphite Matte,4-PASS,FLA,ELECTRIC,Lifted,CT_Black",2867
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Graphite Matte,4-PASS,FLA,ELECTRIC,Lifted,CT_Stone",2868
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Mica Matte,4-PASS,FLA,ELECTRIC,Lifted,CT_Black",2869
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Mica Matte,4-PASS,FLA,ELECTRIC,Lifted,CT_Stone",2870
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,White,4-PASS,FLA,ELECTRIC,Lifted,CT_Black",2871
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,White,4-PASS,FLA,ELECTRIC,Lifted,CT_Stone",2872
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Aqua Blue,4-PASS,FLA,ELECTRIC,Lifted,CT_Black",2873
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Aqua Blue,4-PASS,FLA,ELECTRIC,Lifted,CT_Stone",2874
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Moonstone,4-PASS,FLA,ELECTRIC,Lifted,CT_Black",2875
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Moonstone,4-PASS,FLA,ELECTRIC,Lifted,CT_Stone",2876
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Bluestone,4-PASS,FLA,ELECTRIC,Lifted,CT_Black",2877
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Bluestone,4-PASS,FLA,ELECTRIC,Lifted,CT_Stone",2878
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Jasper,4-PASS,FLA,ELECTRIC,Lifted,CT_Black",2879
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Jasper,4-PASS,FLA,ELECTRIC,Lifted,CT_Stone",2880
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Black,4-PASS,FLA,ELECTRIC,Lifted,CT_Black",2881
"Yamaha,Adventurer 2+2,4-PASS,FLA,ELECTRIC,Lifted",2648,"Yamaha,Adventurer 2+2,Black,4-PASS,FLA,ELECTRIC,Lifted,CT_Stone",2882
"Yamaha,Concierge 4,4-PASS,EFI,GAS,Non-lifted",2649,"Yamaha,Concierge 4,Atomic Orange,4-PASS,EFI,GAS,Non-lifted,CT_Black",2883
"Yamaha,Concierge 4,4-PASS,EFI,GAS,Non-lifted",2649,"Yamaha,Concierge 4,Atomic Orange,4-PASS,EFI,GAS,Non-lifted,CT_Stone",2884
"Yamaha,Concierge 4,4-PASS,EFI,GAS,Non-lifted",2649,"Yamaha,Concierge 4,Graphite Matte,4-PASS,EFI,GAS,Non-lifted,CT_Black",2885
"Yamaha,Concierge 4,4-PASS,EFI,GAS,Non-lifted",2649,"Yamaha,Concierge 4,Graphite Matte,4-PASS,EFI,GAS,Non-lifted,CT_Stone",2886
"Yamaha,Concierge 4,4-PASS,EFI,GAS,Non-lifted",2649,"Yamaha,Concierge 4,Mica Matte,4-PASS,EFI,GAS,Non-lifted,CT_Black",2887
