Reference #,Adjustment Account,Date,Posting Period,Memo,Item Name Number,Vlookup,ID,Item Display Name,Location,Units,Adjust Qty By,Est. Unit Cost,Subtotal,Memo,Internal ID
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-LBL-00A,1,323,,BM Nagano,,1,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-011,1,426,,BM Nagano,,1,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-SOM-003,1,689,,BM Nagano,,4,40,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-REG-009,1,513,,BM Nagano,,5,4.26,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RF-008,1,655,,BM Nagano,,7,0.00001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-049,1,498,,BM Nagano,,8,0.33,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-018,1,432,,BM Nagano,,9,4.5,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CON-018,1,153,,BM Nagano,,10,1.8,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-BAT-001,1,33,,BM Nagano,,11,0.85,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-050,1,499,,BM Nagano,,11,0.33,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-059,1,506,,BM Nagano,,14,0.00001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-027,1,1185,,BM Nagano,,17,0.17,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-047,1,496,,BM Nagano,,18,0.33,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-DIO-005,1,185,,BM Nagano,,24,0.0679,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-026,1,1184,,BM Nagano,,24,0.09,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-REG-007,1,511,,BM Nagano,,26,0.4,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-MCU-004,1,338,,BM Nagano,,30,2.3,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RF-001,1,650,,BM Nagano,,31,1.36,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RF-016,1,669,,BM Nagano,,35,8.49,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-048,1,497,,BM Nagano,,40,0.33,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-028,1,1186,,BM Nagano,,43,0.17,,,4774
