itemId,Internal Id,displayname,unitstype,stockunit,purchaseunit,saleunits,Consumption Unit,Location,MPN,Track Landed Cost,costingmethod,cogsaccount,incomeaccount,assetaccount,taxSchedule,bomName,masterDefault,supplyreplenishmentmethod,planningitemcategory
GW4,5,Gateway - GW4,Each,Eaches,Eaches,Eaches,Eaches,Cape Manufacturing,Gateway,Yes,Average,636,948,422,Taxable,GW4 BOM,,Master Production Scheduling,NMG Finished Goods
GW4-L,1637,Gateway Lite - GW4,Each,Eaches,Eaches,Eaches,Eaches,Cape Manufacturing,Gateway Lite,Yes,Average,636,948,422,Taxable,GW4-L BOM,,Master Production Scheduling,NMG Finished Goods
RE4,9,Repeater - RE4,Each,Eaches,Eaches,Eaches,Eaches,Cape Manufacturing,Repeater,Yes,Average,631,952,422,Taxable,RE4 BOM,,Master Production Scheduling,NMG Finished Goods
TR4-I,1640,Transceiver - TR4-I,Each,Eaches,Eaches,Eaches,Eaches,Cape Manufacturing,Transceiver-I,Yes,Average,628,851,422,Taxable,TR4-I BOM,,Master Production Scheduling,NMG Finished Goods
TR4-E,1641,Transceiver - TR4-E,Each,Eaches,Eaches,Eaches,Eaches,Cape Manufacturing,Trabsceiver-E,Yes,Average,626,850,422,Taxable,TR4-E BOM,,Master Production Scheduling,NMG Finished Goods
TR4-X,1642,Outdoor Transceiver - TR4-X,Each,Eaches,Eaches,Eaches,Eaches,Cape Manufacturing,Outdoor Transceiver,Yes,Average,627,852,422,Taxable,TR4-X BOM,,Master Production Scheduling,NMG Finished Goods
LS4,1643,Leak Sensor - LS4,Each,Eaches,Eaches,Eaches,Eaches,Cape Manufacturing,Leak Sensor,Yes,Average,645,1045,422,Taxable,LS4 BOM,,Master Production Scheduling,NMG Finished Goods
NM4,1644,NextMeter Indoor - NM4-I,Each,Eaches,Eaches,Eaches,Eaches,Cape Manufacturing,Next Meter Indoor,Yes,Average,526,844,422,Taxable,NM4-I BOM,,Master Production Scheduling,NMG Finished Goods
RR4,1645,Remote Reader - RR4,Each,Eaches,Eaches,Eaches,Eaches,Cape Manufacturing,Remote Reader,Yes,Average,639,952,422,Taxable,RR4 BOM,,Master Production Scheduling,NMG Finished Goods
RR4-TR,1646,Remote Reader (with integrated Transceiver)- RR4-TR,Each,Eaches,Eaches,Eaches,Eaches,Cape Manufacturing,Remote Reader w/ Integrated Transceiver,Yes,Average,640,951,422,Taxable,RR4-TR BOM,,Master Production Scheduling,NMG Finished Goods
FSK,1647,Field Splice Kit,Each,Eaches,Eaches,Eaches,Eaches,Cape Manufacturing,Field Splice Kit,Yes,Average,1055,1057,422,Taxable,FSK BOM,,Master Production Scheduling,NMG Finished Goods
NR4,1648,Next Register,Each,Eaches,Eaches,Eaches,Eaches,Cape Manufacturing,Next Register,Yes,Average,644,1044,422,Taxable,NR4 BOM,,Master Production Scheduling,NMG Finished Goods
BAT201,1649,CR123A Battery Kit,Each,Eaches,Eaches,Eaches,Eaches,Cape Manufacturing,CR123A Battery Kit,Yes,Average,1055,1057,422,Taxable,,,Master Production Scheduling,NMG Finished Goods
BAT301,1650,ER18505 Battery Kit,Each,Eaches,Eaches,Eaches,Eaches,Cape Manufacturing,ER18505 Battery Kit,Yes,Average,1055,1057,422,Taxable,,,Master Production Scheduling,NMG Finished Goods
