entityId,phone,Address1_phone,Internal Id
AEROPRES CORP,(318) 371-6416,(318) 371-6416,556
AETHON ENERGY,2147503833,2147503833,557
AGRIUM US INC.,(806) 468-0670,(806) 468-0670,558
AHLSTROM-MUNKSJO FILTRATION,(717) 486-6458,(717) 486-6458,559
AIR STAR INC,(505) 634-0602,(505) 634-0602,560
AIRGAS,,,561
AIRGAS (PA),(601) 845-3842,(601) 845-3842,562
ALL PHASE ELECTRIC,(409) 962-9698,(409) 962-9698,563
ALMA PLANTATION,(225) 627-6666,(225) 627-6666,564
ALMATIS INC,(501) 776-4922,(501) 776-4922,565
ALPHA PROCESS SALES,(281) 240-4505,(281) 240-4505,566
AMERICAN AUTOCLAVE,(706) 692-4480,(706) 692-4480,567
AMERICAN CONTROL & ENGINEERING,(316) 776-7500,(316) 776-7500,568
AMPINE LLC,(209) 223-6013,(209) 223-6013,569
AMVAC,(323) 526-2321,(323) 526-2321,570
ANDERSON REGIONAL JOINT WATER,(864) 332-6534,(864) 332-6534,571
ANMAR METROLOGY,(858) 621-2630,(858) 621-2630,572
ANR PIPELINE,(832) 320-5357,(832) 320-5357,573
APC OF NEW YORK,3153844225,3153844225,574
APC PAPER COMPANY,(603) 542-6330,(603) 542-6330,575
APPLIED INDUSTRIAL TECHNOLOGIES,(304) 746-2012,(304) 746-2012,576
ARCADIA OILFIELD SUPPLY,(318) 263-8547,(318) 263-8547,577
ARKANSAS ELECTRIC,(501) 897-5212,(501) 897-5212,578
ARROW PUMP,(405) 382-0644,(405) 382-0644,579
ASPEN FLOW CONTROL,(918) 933-5617,(918) 933-5617,580
AURIGA POLYMERS INC,(888) 406-5058,(888) 406-5058,581
AURORA ENERGY LLC,(907) 452-8767,(907) 452-8767,582
AUTOMATION PLUS PVT LTD,,,583
AVP VALVE INC,(863) 709-0455,(863) 709-0455,584
AZOTA GAS PROCESSING LTD,,,585
"B.E. CROWLEY, INCORPORATED",(413) 737-0263,(413) 737-0263,586
BARSATECH. INC,(418) 697-7777,(418) 697-7777,587
BAY VALVE SERVICE,(206) 267-3900,(206) 267-3900,588
BBP SALES LLC,(225) 751-4142,(225) 751-4142,589
BC OILFIELD SERVICES,(351) 573-6355,(351) 573-6355,590
BDI USA,,,591
BEACON WEST ENERGY GROUP,(805) 395-9747,(805) 395-9747,592
BIG RIVERS ELECTRIC CORP,(270) 844-6147,(270) 844-6147,593
BITTER END TRADING,(603) 763-9777,(603) 763-9777,594
BK ENERGY SERVICES LLC,318-251-3226,318-251-3226,595
BLACK BEAR MIDSTREAM,(281) 407-2711,(281) 407-2711,596
BLACK BEAR TRANSMISSION LLC,(318) 665-4426,(318) 665-4426,597
BLACKSTONE STATION,(617) 496-2892,(617) 496-2892,598
"Blue Ridge Fiberboard, Inc.",(434) 797-1321,(434) 797-1321,599
BLUECREST ALASKA OPERATING LLC,(281) 664-7222,(281) 664-7222,600
BOILER ROOM SERVICES,(712) 281-4584,(712) 281-4584,601
BOILER SUPPLY,(800) 849-5001,(800) 849-5001,602
BOISE CASCADE,318-586-8200,318-586-8200,603
BPM,,,604
BPS SUPPLY GROUP,(832) 310-2368,(832) 310-2368,605
BPX PRODUCTION COMPANY,(866) 627-3287,(866) 627-3287,606
BRADFORD SUPPLY,(740) 886-4442,(740) 886-4442,607
BRANCH ENERGY,(903) 892-2625,(903) 892-2625,608
BRANDON SERVICE CO,(601) 373-6363,(601) 373-6363,609
BREWSTER PROCUREMENT GROUP,(337) 291-9009,(337) 291-9009,610
BRYAN TEXAS UTILITIES,(979) 821-5947,(979) 821-5947,611
BYIS MANUFACTURING LLC,(620) 221-4603,(620) 221-4603,612
CABOT NORIT AMERICAS,(903) 923-1000,(903) 923-1000,613
CALIBER VALVE & CONTROLS,(337) 602-6481,(337) 602-6481,614
CALUMET REFINING CO,(318) 706-7032,(318) 706-7032,615
CANES MIDSTREAM G&P LLC,(469) 290-4100,(469) 290-4100,616
CAPITAL VALVE SERVICE,(215) 288-5800,(215) 288-5800,617
CARBERY GROUP,,,618
CCS INDUSTRIAL SERVICES,(769) 456-2002,(769) 456-2002,619
CDK INDUSTRIAL SOLUTIONS,(601) 664-2171,(601) 664-2171,620
