entityId,isperson,companyname,category,email,phone,Address1_Addressee,Address1_phone,Address1_line1,Address1_city,Address1_state,Address1_zipCode,Address1_country,Address1_defaultBilling,Address1_defaultShipping,terms,Taxable Status
AEROPRES CORP,No,AEROPRES CORP,2,dpuckett@aeropres.com,(318) 371-6416,AEROPRES CORP,(318) 371-6416,POB 198,SIBLEY,LA,71073,United States,Yes,No,11,Yes
AETHON ENERGY,No,AETHON ENERGY,6,rep.name@aethonenergy.com,2147503833,AETHON ENERGY,2147503833,12377 MERIT DRIVE STE# 1200,DALLAS,TX,75251,United States,Yes,No,2,Yes
AGRIUM US INC.,No,AGRIUM US INC.,3,GAccount@nutrien.com,(806) 468-0670,AGRIUM US INC.,(806) 468-0670,"122 1ST AVENUE S. STE# 500
C/O ACCTS PAYABLE SHARED SERVICE",SAKATOON,SK,S7K 7G3,Canada,Yes,No,2,No
AHLSTROM-MUNKSJO FILTRATION,No,AHLSTROM-MUNKSJO FILTRATION,5,catherine.ault@ahlstrom-munksjo.com,(717) 486-6458,AHLSTROM-MUNKSJO FILTRATION,(717) 486-6458,POB 250,WINDSOR LOCKS,CT,06096-0250,United States,Yes,No,2,No
AIR STAR INC,No,AIR STAR INC,10,jgomez@airstarinc.com,(505) 634-0602,AIR STAR INC,(505) 634-0602,PO BOX 1510,AZTEC,NM,87410,United States,Yes,No,11,Yes
AIRGAS,No,AIRGAS,2,Kim.Irvin@airgas.com,,AIRGAS,,9232 ST VINCENT AVENUE,SHREVEPORT,LA,71106,United States,Yes,No,2,No
AIRGAS (PA),No,AIRGAS (PA),2,ap.invoice.merchantgas@airgas.com,(601) 845-3842,AIRGAS (PA),(601) 845-3842,POB 6610,RADNOR,PA,19087-8675,United States,Yes,No,17,No
ALL PHASE ELECTRIC,No,ALL PHASE ELECTRIC,10,mherrington@apegroves.com,(409) 962-9698,ALL PHASE ELECTRIC,(409) 962-9698,5300 WEST PARKWAY STREET,GROVES,TX,77619,United States,Yes,No,11,No
ALMA PLANTATION,No,ALMA PLANTATION,3,EJarreau@almaplt.com,(225) 627-6666,ALMA PLANTATION,(225) 627-6666,4612 ALMA RD,LAKELAND,LA,70752,United States,Yes,No,2,No
ALMATIS INC,No,ALMATIS INC,2,AP@ALMATIS.COM,(501) 776-4922,ALMATIS INC,(501) 776-4922,4701 ALCOA ROAD,BENTON,AR,72015,United States,Yes,No,17,No
ALPHA PROCESS SALES,No,ALPHA PROCESS SALES,9,terim@alphaps.com,(281) 240-4505,ALPHA PROCESS SALES,(281) 240-4505,12850 E BOURNEWOOD DRIVE,SUGAR LAND,TX,77478,United States,Yes,No,2,No
AMERICAN AUTOCLAVE,No,AMERICAN AUTOCLAVE,8,tina@americanautoclave.com,(706) 692-4480,AMERICAN AUTOCLAVE,(706) 692-4480,93 PIONEER INDUSTRIAL BLVD,JASPER,GA,30143,United States,Yes,No,2,No
AMERICAN CONTROL & ENGINEERING,No,AMERICAN CONTROL & ENGINEERING,8,office@theacesinc.com,(316) 776-7500,AMERICAN CONTROL & ENGINEERING,(316) 776-7500,14433 SW 150TH STREET,ROSE HILL,KS,67133-8078,United States,Yes,No,2,No
AMPINE LLC,No,AMPINE LLC,5,ampineAP@timberproducts.com,(209) 223-6013,AMPINE LLC,(209) 223-6013,11610 AMPINE FIBERFORM ROAD,SUTTER CREEK,CA,95685,United States,Yes,No,2,Yes
AMVAC,No,AMVAC,2,AVD@invoices.corcentric.com,(323) 526-2321,AMVAC,(323) 526-2321,POB 13714,PHILADELPHIA,PA,19101,United States,Yes,No,2,Yes
ANDERSON REGIONAL JOINT WATER,No,ANDERSON REGIONAL JOINT WATER,4,jmerritt@arjwater.com,(864) 332-6534,ANDERSON REGIONAL JOINT WATER,(864) 332-6534,998 HUNTERS TRAIL,ANDERSON,SC,29625,United States,Yes,No,2,No
ANMAR METROLOGY,No,ANMAR METROLOGY,10,tina.vizzard@transcat.com,(858) 621-2630,ANMAR METROLOGY,(858) 621-2630,7726 ARJONS DRIVE,SAN DIEGO,CA,92126,United States,Yes,No,2,Yes
ANR PIPELINE,No,ANR PIPELINE,6,invoices_US@tcenergy.com,(832) 320-5357,ANR PIPELINE,(832) 320-5357,2255 WEST US 20,LA GRANGE,IN,46761,United States,Yes,No,2,No
APC OF NEW YORK,No,APC OF NEW YORK,5,kayla.bellman@proampac.com,3153844225,APC OF NEW YORK,3153844225,POB 756,NORFOLK,NY,13667,United States,Yes,No,2,Yes
APC PAPER COMPANY,No,APC PAPER COMPANY,5,kim.stone@proampac.com,(603) 542-6330.114,APC PAPER COMPANY,(603) 542-6330.114,130 SULLIVAN STREET,CLAREMONT,NH,03743,United States,Yes,No,2,No
APPLIED INDUSTRIAL TECHNOLOGIES,No,APPLIED INDUSTRIAL TECHNOLOGIES,10,va@applied.com,(304) 746-2012,APPLIED INDUSTRIAL TECHNOLOGIES,(304) 746-2012,POB 93018,CLEVELAND,OH,44101-5018,United States,Yes,No,2,Yes
ARCADIA OILFIELD SUPPLY,No,ARCADIA OILFIELD SUPPLY,10,regan.campbell@arcadiaoilfieldsupply.com,(318) 263-8547,ARCADIA OILFIELD SUPPLY,(318) 263-8547,POB 89,ARCADIA,LA,71001,United States,Yes,No,11,No
ARKANSAS ELECTRIC,No,ARKANSAS ELECTRIC,4,adam.mason@aecc.com,(501) 897-5212,ARKANSAS ELECTRIC,(501) 897-5212,"HARRY L OSWALD GEN STATION
17400 HWY 365 S",LITTLE ROCK,AR,72206,United States,Yes,No,2,Yes
ARROW PUMP,No,ARROW PUMP,10,sales@arrowpump.net,(405) 382-0644,ARROW PUMP,(405) 382-0644,1460 W WRANGLER BLVD,SEMINOLE,OK,74868,United States,Yes,No,2,No
ASPEN FLOW CONTROL,No,ASPEN FLOW CONTROL,9,jacki@aspenflow.com,(918) 933-5617,ASPEN FLOW CONTROL,(918) 933-5617,POB 140238,BROKEN ARROW,OK,74014,United States,Yes,No,2,No
AURIGA POLYMERS INC,No,AURIGA POLYMERS INC,2,apinvoice.auriga@in.indorama.net,(888) 406-5058,AURIGA POLYMERS INC,(888) 406-5058,POB 5887,SPARTANBURG,SC,29304,United States,Yes,No,2,No
AURORA ENERGY LLC,No,AURORA ENERGY LLC,4,Reggleston@auroraenergyak.com,(907) 452-8767,AURORA ENERGY LLC,(907) 452-8767,"100 CUSHMAN STREET
STE. 210",FAIRBANKS,AK,99701,United States,Yes,No,11,No
AUTOMATION PLUS PVT LTD,No,AUTOMATION PLUS PVT LTD,10,rhoskins@sullivanprocess.com,,AUTOMATION PLUS PVT LTD,,"112 SEKE RD GRANITESIDE
HARARE",ZIMBABWE,AFRICA,,ZIMBABWE,Yes,No,2,Yes
AVP VALVE INC,No,AVP VALVE INC,10,ap@AVPvalve.com,(863) 709-0455,AVP VALVE INC,(863) 709-0455,104 W BRANNEN ROAD,LAKELAND,FL,33813,United States,Yes,No,2,No
AZOTA GAS PROCESSING LTD,No,AZOTA GAS PROCESSING LTD,8,INVOICES@AZOTALTD.COM,,AZOTA GAS PROCESSING LTD,,9800 CENTRE PKWY STE# 900,HOUSTON,TX,77036,United States,Yes,No,2,No
"B.E. CROWLEY, INCORPORATED",No,"B.E. CROWLEY, INCORPORATED",10,diane@becrowley.com,(413) 737-0263,"B.E. CROWLEY, INCORPORATED",(413) 737-0263,P.O. BOX 3066,SPRINGFIELD,MA,01101,United States,Yes,No,2,Yes
BARSATECH. INC,No,BARSATECH. INC,10,ntheriault@barsatech.ca,(418) 697-7777,BARSATECH. INC,(418) 697-7777,3415 AVENUE DU PORT,SAGUENAY,LA BAIE,G7B 0H2,Canada,Yes,No,2,Yes
BAY VALVE SERVICE,No,BAY VALVE SERVICE,10,ap0400@iss-na.com,(206) 267-3900,BAY VALVE SERVICE,(206) 267-3900,4385 SOUTH 133RD STREET,TUKWILA,WA,98168,United States,Yes,No,2,No
