Type,tranid,entity,Vendor Internal Id,reference no,terms,Currency,exchangerate,duedate,postingperiod,trandate,purchaseItemline_itemRef,purchaseItemline_quantity,purchaseItemLine_rate,usertotal,purchaseItemLine_location
Bill,789451,HANSON SPRING CO,1319,789451,2,US Dollar,1,11/17/2022,22-Oct,10/18/2022,Open AP Item,1,872,872,3
Bill,435820-1,INDUSTRIAL EQUIPMENT CO,1338,435820-1,2,US Dollar,1,11/17/2022,22-Oct,10/18/2022,Open AP Item,1,663,663,3
Bill,1485914-01,SMITH FASTENER,1478,1485914-01,2,US Dollar,1,11/18/2022,22-Oct,10/19/2022,Open AP Item,1,623.71,623.71,3
Bill,274855,FAIRCHILD INDUSTRIAL PRODUCTS,1292,274855,2,US Dollar,1,11/20/2022,22-Oct,10/21/2022,Open AP Item,1,3640.8,3640.8,3
Bill,274856,FAIRCHILD INDUSTRIAL PRODUCTS,1292,274856,2,US Dollar,1,11/20/2022,22-Oct,10/21/2022,Open AP Item,1,1021.22,1021.22,3
Bill,2240226,FLOWSERVE CORP,1300,2240226,2,US Dollar,1,11/20/2022,22-Oct,10/21/2022,Open AP Item,1,990,990,4
Bill,504,CLB ELECTRICAL SYSTEMS LLC,1245,504,2,US Dollar,1,11/23/2022,22-Oct,10/24/2022,Open AP Item,1,3000,3000,5
Bill,86947625,MCMASTER-CARR,1383,86947625,2,US Dollar,1,11/23/2022,22-Oct,10/24/2022,Open AP Item,1,135.81,135.81,3
Bill,9489565193,GRAINGER,1311,9489565193,2,US Dollar,1,11/23/2022,22-Oct,10/24/2022,Open AP Item,1,119.04,119.04,3
Bill,155498507,ULINE,1534,155498507,2,US Dollar,1,11/23/2022,22-Oct,10/24/2022,Open AP Item,1,25.98,25.98,5
Bill,274942,FAIRCHILD INDUSTRIAL PRODUCTS,1292,274942,2,US Dollar,1,11/24/2022,22-Oct,10/25/2022,Open AP Item,1,20355.83,20355.83,5
Bill,85467,"BARSTOCK SPECIALTIES, INC",1202,85467,2,US Dollar,1,11/24/2022,22-Oct,10/25/2022,Open AP Item,1,7449.1,7449.1,3
Bill,IN004274735,A.W. CHESTERTON COMPANY,1162,IN004274735,2,US Dollar,1,11/24/2022,22-Oct,10/25/2022,Open AP Item,1,1597.52,1597.52,3
Bill,275061,FAIRCHILD INDUSTRIAL PRODUCTS,1292,275061,2,US Dollar,1,11/24/2022,22-Oct,10/25/2022,Open AP Item,1,830.85,830.85,5
Bill,C37450,CHASE CONTROLS LP,1237,C37450,2,US Dollar,1,11/24/2022,22-Oct,10/25/2022,Open AP Item,1,600,600,5
Bill,155575029,ULINE,1534,155575029,2,US Dollar,1,11/24/2022,22-Oct,10/25/2022,Open AP Item,1,333.55,333.55,3
Bill,87077836,MCMASTER-CARR,1383,87077836,2,US Dollar,1,11/24/2022,22-Oct,10/25/2022,Open AP Item,1,280.82,280.82,5
Bill,901740-1,THE NUT PLACE,1516,901740-1,2,US Dollar,1,11/24/2022,22-Oct,10/25/2022,Open AP Item,1,46,46,5
Bill,4135527862,CINTAS CORP,1240,4135527862,20,US Dollar,1,11/5/2022,22-Oct,10/26/2022,Open AP Item,1,158.93,158.93,3
Bill,5651768,"MOODY PRICE, L.L.C.",1395,5651768,2,US Dollar,1,11/25/2022,22-Oct,10/26/2022,Open AP Item,1,627,627,3
Bill,764147,M&P FLANGE & PIPE PROTECTION,1372,764147,2,US Dollar,1,11/25/2022,22-Oct,10/26/2022,Open AP Item,1,471.5,471.5,5
Bill,237174,HOUMA VALVE SERVICE,1332,237174,2,US Dollar,1,11/25/2022,22-Oct,10/26/2022,Open AP Item,1,422.2,422.2,3
Bill,764146,M&P FLANGE & PIPE PROTECTION,1372,764146,2,US Dollar,1,11/25/2022,22-Oct,10/26/2022,Open AP Item,1,367.5,367.5,5
Bill,87141186,MCMASTER-CARR,1383,87141186,2,US Dollar,1,11/25/2022,22-Oct,10/26/2022,Open AP Item,1,274.8,274.8,3
Bill,50690836,MSC,1399,50690836,2,US Dollar,1,11/25/2022,22-Oct,10/26/2022,Open AP Item,1,160.78,160.78,3
Bill,IV00535736,NAMEPLATES,1406,IV00535736,2,US Dollar,1,11/26/2022,22-Oct,10/27/2022,Open AP Item,1,1361.25,1361.25,3
Bill,87230444,MCMASTER-CARR,1383,87230444,2,US Dollar,1,11/26/2022,22-Oct,10/27/2022,Open AP Item,1,550.72,550.72,3
Bill,50805346,MSC,1399,50805346,2,US Dollar,1,11/26/2022,22-Oct,10/27/2022,Open AP Item,1,45.02,45.02,3
Bill,87226407,MCMASTER-CARR,1383,87226407,2,US Dollar,1,11/26/2022,22-Oct,10/27/2022,Open AP Item,1,30.72,30.72,3
Bill,7601797951-0-1,STAPLES ADVANTAGE,1494,7601797951-0-1,2,US Dollar,1,12/20/2022,22-Oct,10/27/2022,Open AP Item,1,107.05,107.05,3
Bill,2365530,SPRING BRANCH I.S.D.,1492,2365530,2,US Dollar,1,1/31/2023,22-Oct,10/27/2022,Open AP Item,1,369.33,369.33,5
Bill,2120977,SETPOINT INTEGRATED SOLUTIONS,1474,2120977,2,US Dollar,1,11/27/2022,22-Oct,10/28/2022,Open AP Item,1,618.96,618.96,4
Bill,7367303960-0-1,STAPLES ADVANTAGE,1494,7367303960-0-1,2,US Dollar,1,12/20/2022,22-Oct,10/28/2022,Open AP Item,1,22.26,22.26,3
Bill,437904-1,INDUSTRIAL EQUIPMENT CO,1338,437904-1,2,US Dollar,1,10/31/2022,22-Oct,10/31/2022,Open AP Item,1,489.84,489.84,3
Bill,396752,CVS CONTROLS LTD.,1262,396752,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,7929,7929,3
Bill,BW226089-02,GULF COAST TMC.,1316,BW226089-02,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,5410,5410,3
Bill,TXVIC176452,FASTENAL COMPANY,1293,TXVIC176452,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,1709.29,1709.29,4
Bill,82651,"HAYGOR INSTRUMENT & ENG., INC.",1323,82651,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,1415,1415,3
Bill,82645,"HAYGOR INSTRUMENT & ENG., INC.",1323,82645,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,1340,1340,3
Bill,82638,"HAYGOR INSTRUMENT & ENG., INC.",1323,82638,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,1260,1260,3
Bill,2242860,FLOWSERVE CORP,1300,2242860,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,790,790,4
Bill,3192458,RAWSON OR INDUSTRIAL CONTROLS (ICD),1457,3192458,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,690.16,690.16,5
Bill,82661,"HAYGOR INSTRUMENT & ENG., INC.",1323,82661,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,475,475,3
Bill,52384426,MSC,1399,52384426,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,436.67,436.67,5
Bill,IV00535877,NAMEPLATES,1406,IV00535877,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,372.5,372.5,5
Bill,37326378,GAS AND SUPPLY OF TEXAS,1305,37326378,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,365.84,365.84,3
Bill,4146335,PUFFER-SWEIVEN,1446,4146335,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,133.75,133.75,4
Bill,396753,CVS CONTROLS LTD.,1262,396753,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,89.7,89.7,3
Bill,30816,ELECTROLESS NICKEL PLATING OF LA,1281,30816,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,45,45,3
Bill,9201241351,QUEST DIAGNOSTICS,1449,9201241351,2,US Dollar,1,11/30/2022,22-Oct,10/31/2022,Open AP Item,1,39.5,39.5,6
Bill,P326003,VICTORIA COUNTY TAX OFFICE,1548,P326003,2,US Dollar,1,1/31/2023,22-Oct,10/31/2022,Open AP Item,1,10558.78,10558.78,4
