Internal ID,Bill of Materials,Name,Item,Item Id,Item Source,Description,Component Yield,BoM Quantity,Quantity,Units
63,WSOR045024013D-DU050Y-BOM,WSOR045024013D-DU050Y-REV,DU050Y,46496,STOCK,"1/2"" SOLID YELLOW UHMW GAR-DUR",100,0.01613,0.01613,ft
67,WSNC423341100D-PCG18K-BOM,WSNC423341100D-PCG18K-REV,PCG18K,46389,STOCK,"MPTFE 18% CARBON 10% GLASS HFF 
",100,0.7165,0.7165,lbs
68,WPOS148137009S-PGX25W-BOM,WPOS148137009S-PGX25W-REV,PGX25W,46636,STOCK,"PTFE 25% GLASS WHITE 
",100,0.00642,0.00642,lbs
69,WRJC055044011D-R470BK-BOM,WRJC055044011D-R470BK-REV,R470BKH,49570,STOCK,NITRILE REV.C ROHS COMPLIANT,100,0.00067,0.00067,lbs
73,WPST050043001D-PXX00W-BOM,WPST050043001D-PXX00W-REV,PXX00WT,49672,STOCK,PTFE VIRGIN WHITE,100,0.00015,0.00015,lbs
76,80447-BOM,80447-REV,PXX00WT,49672,STOCK,PTFE VIRGIN WHITE,100,0.05942,0.05942,lbs
77,WSMPM202011MXX-BOM,WSMPM202011MXX-REV,CSCT1S,49785,STOCK,00A242 CUSTOMER SUPPLIED,100,1,1,EA
92,WSMP595400006D-PGX25Y-2-BOM,WSMP595400006D-PGX25Y-2-REV,PGX25Y,46540,STOCK,PTFE 25% GLASS YELLOW,100,0.36451,0.36451,lbs
92,WSMP595400006D-PGX25Y-2-BOM,WSMP595400006D-PGX25Y-2-REV,Outside Process Charge,49949,STOCK,,100,5,5,
93,WSNC028012030D-MXX00W-BOM,WSNC028012030D-MXX00W-REV,MXX00W,46630,STOCK,MPTFE VIRGIN ,100,0.00655,0.00655,lbs
