Reference #,Adjustment Account,Date,Posting Period,Memo,Subsidiary,Department,Item,Item,Item ID,Item ID Sandipan,Location,Units,Adjust Qty By,Est. Unit Cost,Department,Class,Memo,,Lot/Serial (for lot numbered item),Expiration Date (for lot numbered item),Lot Quantity (for lot numbered item)
,5930 Valuation Adjustments,4/11/2025,,Opening Balance,Western Consolidated Technologies,,SR-20696.528,SR-20696.528,52109,52109,WCT HQ,EA,,0.6288,,NC,,E1-FG,4/30/2025,,4
,5931 Valuation Adjustments,4/22/2025,,Opening Balance,Western Consolidated Technologies,,SR-21424.528,SR-21424.528,52113,52113,WCT HQ,EA,,0.20268,,SL,,E1-FG,4/30/2025,,18
,5932 Valuation Adjustments,4/16/2025,,Opening Balance,Western Consolidated Technologies,,SR-21462.528,SR-21462.528,52112,52112,WCT HQ,EA,,0.94625,,NC,,E1-FG,4/30/2025,,3
,5933 Valuation Adjustments,3/8/2024,,Opening Balance,Western Consolidated Technologies,,SR-21538.701,SR-21538.701,52835,52835,WCT HQ,EA,,0.0095,,SA,,E1-FG,4/30/2025,,357
,5934 Valuation Adjustments,2/16/2024,,Opening Balance,Western Consolidated Technologies,,SR-22132.538,SR-22132.538,52807,52807,WCT HQ,EA,,0.03499,,PT,,E1-FG,4/30/2025,,131
,5935 Valuation Adjustments,4/20/2022,,Opening Balance,Western Consolidated Technologies,,SR-22249,SR-22249,#N/A,#N/A,WCT HQ,EA,,0.54594,,SL,,E1-FG,4/30/2025,,5
,5936 Valuation Adjustments,1/24/2020,,Opening Balance,Western Consolidated Technologies,,SR-22858,SR-22858,#N/A,#N/A,WCT HQ,EA,,0.65152,,FH,,E1-FG,4/30/2025,,27
,5937 Valuation Adjustments,4/30/2025,,Opening Balance,Western Consolidated Technologies,,SR-24152.697,SR-24152.697,53121,53121,WCT HQ,EA,,0.26966,,OT,,E1-FG,4/30/2025,,77
,5938 Valuation Adjustments,1/3/2025,,Opening Balance,Western Consolidated Technologies,,SR-24267.F1711,SR-24267.F1711,52105,52105,WCT HQ,EA,,0.16331,,MP,,E1-FG,4/30/2025,,40
,5939 Valuation Adjustments,12/21/2022,,Opening Balance,Western Consolidated Technologies,,SR-24267.2,SR-24267.2,#N/A,#N/A,WCT HQ,EA,,0.10407,,MP,,E1-FG,4/30/2025,,12
,5940 Valuation Adjustments,12/21/2022,,Opening Balance,Western Consolidated Technologies,,SR-24268.2,SR-24268.2,#N/A,#N/A,WCT HQ,EA,,0.13604,,MP,,E1-FG,4/30/2025,,15
,5941 Valuation Adjustments,11/2/2022,,Opening Balance,Western Consolidated Technologies,,SR-24276,SR-24276,#N/A,#N/A,WCT HQ,EA,,0.10295,,NC,,E1-FG,4/30/2025,,10
,5942 Valuation Adjustments,11/2/2022,,Opening Balance,Western Consolidated Technologies,,SR-24277,SR-24277,#N/A,#N/A,WCT HQ,EA,,1.21537,,NC,,E1-FG,4/30/2025,,7
,5943 Valuation Adjustments,2/15/2023,,Opening Balance,Western Consolidated Technologies,,SR-24299,SR-24299,#N/A,#N/A,WCT HQ,EA,,0.59225,,MP,,E1-FG,4/30/2025,,30
,5944 Valuation Adjustments,6/15/2023,,Opening Balance,Western Consolidated Technologies,,SR-24344,SR-24344,#N/A,#N/A,WCT HQ,EA,,0.20835,,OT,,E1-FG,4/30/2025,,58
,5945 Valuation Adjustments,4/4/2025,,Opening Balance,Western Consolidated Technologies,,SR-24460.FL1502,SR-24460.FL1502,52178,52178,WCT HQ,EA,,0.08736,,NC,,E1-FG,4/30/2025,,20
,5946 Valuation Adjustments,4/10/2025,,Opening Balance,Western Consolidated Technologies,,SR-24463.AGC594,SR-24463.AGC594,52184,52184,WCT HQ,EA,,0.05424,,NC,,E1-FG,4/30/2025,,17
,5947 Valuation Adjustments,4/10/2025,,Opening Balance,Western Consolidated Technologies,,SR-24463.551,SR-24463.551,52185,52185,WCT HQ,EA,,0.07137,,NC,,E1-FG,4/30/2025,,101
,5948 Valuation Adjustments,4/10/2025,,Opening Balance,Western Consolidated Technologies,,SR-24463.668,SR-24463.668,52186,52186,WCT HQ,EA,,0.06787,,NC,,E1-FG,4/30/2025,,78
,5949 Valuation Adjustments,11/21/2023,,Opening Balance,Western Consolidated Technologies,,WRJA318298009D-R470BK,WRJA318298009D-R470BK,28252,28252,WCT HQ,EA,,0.0479,,JA,,E1-FG,4/30/2025,,4265
,5950 Valuation Adjustments,11/12/2021,,Opening Balance,Western Consolidated Technologies,,WRJA447434006D-R470BK,WRJA447434006D-R470BK,28255,28255,WCT HQ,EA,,0.03361,,JA,,E1-FG,4/30/2025,,680
,5951 Valuation Adjustments,12/2/2022,,Opening Balance,Western Consolidated Technologies,,WRJA429356009D-R470BK,WRJA429356009D-R470BK,28260,28260,WCT HQ,EA,,0.1136,,JA,,E1-FG,4/30/2025,,419
,5952 Valuation Adjustments,10/4/2024,,Opening Balance,Western Consolidated Technologies,,WRJC075056006D-R470BK,WRJC075056006D-R470BK,28264,28264,WCT HQ,EA,,0.00932,,JC,,E1-FG,4/30/2025,,1040
,5953 Valuation Adjustments,10/2/2024,,Opening Balance,Western Consolidated Technologies,,WRJC121074009D-R870AK,WRJC121074009D-R870AK,28272,28272,WCT HQ,EA,,0.01832,,JC,,E1-FG,4/30/2025,,2787
,5954 Valuation Adjustments,2/17/2021,,Opening Balance,Western Consolidated Technologies,,WRJE200177012D-R970BK,WRJE200177012D-R970BK,28292,28292,WCT HQ,EA,,0.0332,,JE,,E1-FG,4/30/2025,,244
,5955 Valuation Adjustments,7/20/2022,,Opening Balance,Western Consolidated Technologies,,WRJA345330003D-R070BK,WRJA345330003D-R070BK,28300,28300,WCT HQ,EA,,0.04376,,JA,,E1-FG,4/30/2025,,23698
,5956 Valuation Adjustments,8/1/2024,,Opening Balance,Western Consolidated Technologies,,WRJC203162009D-R470BK,WRJC203162009D-R470BK,28301,28301,WCT HQ,EA,,0.03345,,JC,,E1-FG,4/30/2025,,1190
,5957 Valuation Adjustments,6/24/2021,,Opening Balance,Western Consolidated Technologies,,WRJE158135012D-R970BK,WRJE158135012D-R970BK,28314,28314,WCT HQ,EA,,0.02325,,JE,,E1-FG,4/30/2025,,2130
,5958 Valuation Adjustments,4/14/2022,,Opening Balance,Western Consolidated Technologies,,WRJE222199013D-R970BK,WRJE222199013D-R970BK,28316,28316,WCT HQ,EA,,0.04237,,JE,,E1-FG,4/30/2025,,1910
,5959 Valuation Adjustments,5/19/2023,,Opening Balance,Western Consolidated Technologies,,WRJE240216012D-R970BK,WRJE240216012D-R970BK,28319,28319,WCT HQ,EA,,0.03749,,JE,,E1-FG,4/30/2025,,2000
,5960 Valuation Adjustments,3/24/2025,,Opening Balance,Western Consolidated Technologies,,WRJE248224012D-R970BK,WRJE248224012D-R970BK,28323,28323,WCT HQ,PC,,0.02816,,JE,,E1-FG,4/30/2025,,90
,5961 Valuation Adjustments,2/9/2024,,Opening Balance,Western Consolidated Technologies,,WRJA276259012D-R970BK,WRJA276259012D-R970BK,28330,28330,WCT HQ,EA,,0.031,,JA,,E1-FG,4/30/2025,,2000
,5962 Valuation Adjustments,5/19/2020,,Opening Balance,Western Consolidated Technologies,,WRJA388370012D-R490AK,WRJA388370012D-R490AK,28344,28344,WCT HQ,EA,,0.05673,,JA,,E1-FG,4/30/2025,,3455
,5963 Valuation Adjustments,4/18/2024,,Opening Balance,Western Consolidated Technologies,,WRJC018006018D-R460FK,WRJC018006018D-R460FK,28346,28346,WCT HQ,EA,,0.03097,,JC,,E1-FG,4/30/2025,,5105
,5964 Valuation Adjustments,11/8/2024,,Opening Balance,Western Consolidated Technologies,,WRJE106086009D-R970BK,WRJE106086009D-R970BK,28352,28352,WCT HQ,EA,,0.01727,,JC,,E1-FG,4/30/2025,,1080
,5965 Valuation Adjustments,10/17/2023,,Opening Balance,Western Consolidated Technologies,,WRJE112092009D-R970BK,WRJE112092009D-R970BK,28353,28353,WCT HQ,EA,,0.01765,,JE,,E1-FG,4/30/2025,,765
,5966 Valuation Adjustments,7/19/2024,,Opening Balance,Western Consolidated Technologies,,WRJC081061009D-R961AK,WRJC081061009D-R961AK,28362,28362,WCT HQ,EA,,0.0173,,JC,,E1-FG,4/30/2025,,2968
,5967 Valuation Adjustments,8/7/2024,,Opening Balance,Western Consolidated Technologies,,WRJE206186009D-R970BK,WRJE206186009D-R970BK,28367,28367,WCT HQ,EA,,0.04316,,JE,,E1-FG,4/30/2025,,4105
,5968 Valuation Adjustments,11/14/2019,,Opening Balance,Western Consolidated Technologies,,WRJA305290012D-R970BK,WRJA305290012D-R970BK,28375,28375,WCT HQ,EA,,0.04796,,JA,,E1-FG,4/30/2025,,1125
,5969 Valuation Adjustments,8/28/2024,,Opening Balance,Western Consolidated Technologies,,WRJC100075012D-R470EK,WRJC100075012D-R470EK,28380,28380,WCT HQ,EA,,0.01794,,JC,,E1-FG,4/30/2025,,1751
,5970 Valuation Adjustments,1/24/2025,,Opening Balance,Western Consolidated Technologies,,WRJC091066012D-R470EK,WRJC091066012D-R470EK,28382,28382,WCT HQ,PC,,0.01527,,JC,,E1-FG,4/30/2025,,1545
,5971 Valuation Adjustments,12/26/2024,,Opening Balance,Western Consolidated Technologies,,WRJC093073009D-R970BK,WRJC093073009D-R970BK,28383,28383,WCT HQ,PC,,0.02261,,JC,,E1-FG,4/30/2025,,1450
,5972 Valuation Adjustments,4/14/2022,,Opening Balance,Western Consolidated Technologies,,WRJE218194012D-R970BK,WRJE218194012D-R970BK,28390,28390,WCT HQ,EA,,0.03133,,JE,,E1-FG,4/30/2025,,685
,5973 Valuation Adjustments,10/30/2020,,Opening Balance,Western Consolidated Technologies,,WRJE156133012D-R970BK,WRJE156133012D-R970BK,28392,28392,WCT HQ,PC,,0.03113,,JE,,E1-FG,4/30/2025,,1775
,5974 Valuation Adjustments,4/9/2020,,Opening Balance,Western Consolidated Technologies,,WRJE203183012D-R970BK,WRJE203183012D-R970BK,28397,28397,WCT HQ,PC,,0.03618,,JE,,E1-FG,4/30/2025,,560
,5975 Valuation Adjustments,3/24/2025,,Opening Balance,Western Consolidated Technologies,,WRJA628603012D-R470EK,WRJA628603012D-R470EK,28403,28403,WCT HQ,PC,,0.13204,,JA,,E1-FG,4/30/2025,,636
,5976 Valuation Adjustments,8/23/2019,,Opening Balance,Western Consolidated Technologies,,WRJE228204012D-R970BK,WRJE228204012D-R970BK,28415,28415,WCT HQ,EA,,0.03928,,JE,,E1-FG,4/30/2025,,1140
,5977 Valuation Adjustments,8/23/2019,,Opening Balance,Western Consolidated Technologies,,WRJE151128012D-R970BK,WRJE151128012D-R970BK,28422,28422,WCT HQ,EA,,0.02481,,JE,,E1-FG,4/30/2025,,3165
,5978 Valuation Adjustments,5/21/2021,,Opening Balance,Western Consolidated Technologies,,1-10209,1-10209,52632,52632,WCT HQ,EA,,0.0303,,JE,,E1-FG,4/30/2025,,3595
,5979 Valuation Adjustments,1/23/2025,,Opening Balance,Western Consolidated Technologies,,WRJE166143012D-R970BK,WRJE166143012D-R970BK,28427,28427,WCT HQ,EA,,0.02337,,JE,,E1-FG,4/30/2025,,839
,5980 Valuation Adjustments,9/8/2021,,Opening Balance,Western Consolidated Technologies,,WRJA363339012D-R970BK,WRJA363339012D-R970BK,28428,28428,WCT HQ,EA,,0.05098,,JA,,E1-FG,4/30/2025,,1220
,5981 Valuation Adjustments,4/25/2025,,Opening Balance,Western Consolidated Technologies,,WRJE182162009D-R970BK,WRJE182162009D-R970BK,28434,28434,WCT HQ,EA,,0.02483,,JE,,E1-FG,4/30/2025,,1769
,5982 Valuation Adjustments,3/3/2021,,Opening Balance,Western Consolidated Technologies,,WRJA286263012D-R970BK,WRJA286263012D-R970BK,28435,28435,WCT HQ,EA,,0.04436,,JA,,E1-FG,4/30/2025,,4105
,5983 Valuation Adjustments,6/8/2021,,Opening Balance,Western Consolidated Technologies,,1-10222,1-10222,52639,52639,WCT HQ,EA,,0.03806,,JE,,E1-FG,4/30/2025,,1825
,5984 Valuation Adjustments,9/16/2020,,Opening Balance,Western Consolidated Technologies,,WRJE226192012D-R970BK,WRJE226192012D-R970BK,28441,28441,WCT HQ,EA,,0.03793,,JE,,E1-FG,4/30/2025,,810
,5985 Valuation Adjustments,5/10/2024,,Opening Balance,Western Consolidated Technologies,,WRJC150112009D-R470BK,WRJC150112009D-R470BK,28447,28447,WCT HQ,EA,,0.02316,,JC,,E1-FG,4/30/2025,,374
,5986 Valuation Adjustments,1/10/2020,,Opening Balance,Western Consolidated Technologies,,WRJE164140012D-R970BK,WRJE164140012D-R970BK,28450,28450,WCT HQ,EA,,0.03299,,JE,,E1-FG,4/30/2025,,1050
,5987 Valuation Adjustments,8/7/2020,,Opening Balance,Western Consolidated Technologies,,WRJE193169012D-R970BK,WRJE193169012D-R970BK,28453,28453,WCT HQ,PC,,0.03016,,JE,,E1-FG,4/30/2025,,950
,5988 Valuation Adjustments,10/6/2023,,Opening Balance,Western Consolidated Technologies,,1-10238,1-10238,52672,52672,WCT HQ,EA,,0.02065,,JE,,E1-FG,4/30/2025,,1315
,5989 Valuation Adjustments,11/29/2023,,Opening Balance,Western Consolidated Technologies,,WRJA450400012D-R490AK,WRJA450400012D-R490AK,28457,28457,WCT HQ,EA,,0.1437,,JA,,E1-FG,4/30/2025,,1470
,5990 Valuation Adjustments,6/21/2024,,Opening Balance,Western Consolidated Technologies,,WRJA303253009D-R470BK,WRJA303253009D-R470BK,28460,28460,WCT HQ,EA,,0.05509,,JA,,E1-FG,4/30/2025,,1565
,5991 Valuation Adjustments,5/15/2020,,Opening Balance,Western Consolidated Technologies,,WRJE279255012D-R970BK,WRJE279255012D-R970BK,28461,28461,WCT HQ,EA,,0.04116,,JE,,E1-FG,4/30/2025,,7826
,5992 Valuation Adjustments,3/7/2025,,Opening Balance,Western Consolidated Technologies,,WRJA311287012D-R970BK,WRJA311287012D-R970BK,28465,28465,WCT HQ,EA,,0.04812,,JA,,E1-FG,4/30/2025,,1188
,5993 Valuation Adjustments,2/9/2024,,Opening Balance,Western Consolidated Technologies,,WRJA262209009D-R470BK,WRJA262209009D-R470BK,28467,28467,WCT HQ,EA,,0.04964,,JA,,E1-FG,4/30/2025,,3922
,5994 Valuation Adjustments,7/14/2022,,Opening Balance,Western Consolidated Technologies,,WRJE266241012D-R970BK,WRJE266241012D-R970BK,28475,28475,WCT HQ,EA,,0.03802,,JE,,E1-FG,4/30/2025,,1595
,5995 Valuation Adjustments,2/20/2025,,Opening Balance,Western Consolidated Technologies,,WRJC080043007D-R470BK,WRJC080043007D-R470BK,28482,28482,WCT HQ,EA,,0.01298,,JC,,E1-FG,4/30/2025,,615
