Internal ID,Internal ID,Name,Legacy Vendor ID,Acount Number
3559,3559,3 M,32876,32876
3560,3560,3M COMPANY,41837,41837
2582,2582,A & A MANUFACTURING,30252,30252
2583,2583,A & B DEBURRING,42868,42868
2584,2584,A.B. YOUNG,41565,41565
2585,2585,A.E. FLEMING,31702,31702
2586,2586,ABBOTT WORKHOLDING PRODUCTS,40016,40016
2587,2587,ABF,31649,31649
2588,2588,ACCURATE GAGE,32622,32622
2589,2589,ACE HARDWARE,43012,43012
2590,2590,ACE USA,30280,30280
2591,2591,"ACE-TEX ENTERPRISES, INC.","3,174,141,741",31741
2592,2592,"ACS GRAPHICS, INC.",98354,98354
2593,2593,ACS WOOD DALE,30048,30048
2594,2594,"ACTION ENVIROMRNTAL, INC.",30110,30110
2595,2595,"ACTON TECHNOLOGIES, INC.",41660,41660
2596,2596,ADAMS REMCO INC.,30818,30818
2597,2597,ADAPT INC.,31474,31474
2598,2598,ADAZON LABEL & BARCODE SOLUT.,30040,30040
2599,2599,"ADP, INC.",31672,31672
2600,2600,ADVANCE PACKAGING,31856,31856
2601,2601,ADVANCED CONSTRUCTION,31707,31707
2602,2602,ADVANCED DEFLASHING ENTERPRISE,33020,33020
2603,2603,"ADVANCED ELASTOMER SYSTEMS, LP",31484,31484
2604,2604,ADVANCED ENVIRONMENTAL SERVICE,33028,33028
2605,2605,ADVANCED MOLDING TECHNOLOGY,"3,182,141,821",31821
2606,2606,"ADVANCED SYSTEMS & DESIGNS,INC",30081,30081
2607,2607,AGC CHEMICALS AMERICAS INC.,41535,41535
2608,2608,AIAG,32427,32427
2609,2609,AIR SYSTEMS ENGINEERING INC.,33041,33041
2610,2610,AIRGAS SAFETY INC.,30022,30022
2611,2611,"AIRGAS USA, LLC.",30209,30209
2612,2612,AKER INC.,30063,30063
2613,2613,AKRON CONSULTING COMPANY,31691,31691
2614,2614,AKRON RUBBER & DEVELOPMENT,31165,31165
2615,2615,ALLEN BUSINESS MACHINES,"3,191,641,916",31916
2616,2616,ALLIANCE INDUSTRIAL SUPPLY,40036,40036
2617,2617,ALLIED ELECTRONICS INC.,30250,30250
2618,2618,ALLIED METRICS SEALS&FESTN.INC,40072,40072
2619,2619,ALLIUM US HOLDING LLC,98282,98282
2620,2620,ALLSTATE PLASTICS,43049,43049
2621,2621,ALPHAGRAPHICS,30255,30255
2622,2622,ALRO STEEL CORPORATION,"3,120,741,236",31207
2623,2623,"ALTERNATIVE FLASH, INC.",98268,98268
2624,2624,ALVAN MOTOR FREIGHT,32920,32920
2625,2625,AMAZON CAPITAL SERVICES,30342,30342
2626,2626,AMCON,"3,887,248,872",38872
2627,2627,AME,30258,30258
2628,2628,AMERICAN COMMUNITY BANK,30201,30201
2629,2629,"AMERICAN CONTAINERS, INC",41630,41630
2630,2630,AMERICAN CUTTING EDGE,32998,32998
2631,2631,AMERICAN FAMILY LIFE ASSN.CO.,31337,31337
2632,2632,AMERICAN RED CROSS OF INDIANA,40037,40037
2633,2633,AMERICAN SOCIETY FOR QUALITY,30166,30166
2634,2634,AMERICANEAGLE.COM,30354,30354
2635,2635,"AMERIFLON, LTD.",41763,41763
2636,2636,"AMERISOURCE FUNDING, INC.","33,039,430,914,309,200,000",33039
2637,2637,"AMETEK, INC.",30177,30177
2638,2638,AMSOIL,42789,42789
