Item Name/Number,Display Name/Code,Primary Units Type Internal Id,Primary Units Type,Sub Unit Internal Id ,Description,Location,PRODUCTION & SPECIAL INSTRUCTIONS COMMENTS,Track Landed Cost,Costing Method,Cost Category,Use Bin,Base Price,COGS Account,Asset Account,Income Account,WIP Account,Scrap Account,Tax Schedule,Ink,Watermark,Status Notes
192,"Die Cut Part PE face shields 9-7/16"" x 4-3/16""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Part - PE face shields - 9-7/16"" x 4-3/16""",Strouse-HQ,Use heat on liner to help film adhere. ,TRUE,Average,Default Cost Category,TRUE,258.75,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
194,"Die Cut Label Silver foil disks on 3"" cores 2-1/2""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Label - Silver foil disks on 3"" cores - 2-1/2""",Strouse-HQ,"Attached to core with any scrap adhesive transfer.
Cores are customer supplied.  If they are not 3"" wide then center cores.",TRUE,Average,Default Cost Category,TRUE,14.39,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
286,"Die Cut Label White Thermal Transfer 6"" x 4""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Label - White Thermal Transfer - 6"" x 4""",Strouse-HQ,Wind rolls as loose as possible,TRUE,Average,Default Cost Category,TRUE,21.23,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
519,"Core Liner, Two color with the Strouse Logo and ""The Strouse Corporation"" 3-15/16""",7,Length Units,25,"Core Liner, - Two color with the Strouse Logo and ""The Strouse Corporation"" - 3-15/16""",Strouse-HQ,"Blue Match = Environmental Film III Blue - FM32E20015
Green Match = Environmental Film III Green - F3S6E20008
Splice paper with brown flatback papertape OR masking tape. No film tape. can use 3M 2515, 2517, Intertape 539 or other similar tape.",TRUE,Average,Default Cost Category,TRUE,0,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,"Ink 1
  Color: Blue Match
  Ink Type: Water
  Anilox: 500
  Print Cylinder: 76
  Vendor: 

Ink 2
  Color: Green Match
  Ink Type: Water
  Anilox: 500
  Print Cylinder: 76
  Vendor: ",9/28/2021 - Skip - Need to use Spectape or something similar for splices on this job. Yazoo is having trouble with our splices. ,9/28/2021 - Skip - Need to use Spectape or something similar for splices on this job. Yazoo is having trouble with our splices. 
1226,"Die Cut Label White Thermal Transfer labels 2-1/2"" x 3/4""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Label - White Thermal Transfer labels - 2-1/2"" x 3/4""",Strouse-HQ,Wind rolls as loose as possible,TRUE,Average,Default Cost Category,TRUE,6.95,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
1305,"Butt Cut Label White/Blue ""IBM"" 200mm x 200mm",5,Unit-Base M (Use for Finished Goods),7,"Butt Cut Label - White/Blue ""IBM"" - 200mm x 200mm",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,178.87,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,"Ink 1
  Color: PMS 285
  Ink Type: Water
  Anilox: 200
  Print Cylinder: 64
  Vendor: ","4/13/2022 Per Calvin, new plate required. Check distortion.","4/13/2022 Per Calvin, new plate required. Check distortion."
1735,"Die Cut Label White Litho Core Label 15/16"" x 11/16""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Label - White Litho Core Label - 15/16"" x 11/16""",Strouse-HQ,Wind rolls as loose as possible!!!,TRUE,Average,Default Cost Category,TRUE,2.16,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
1771,"Fabricated Part Internal Rectangle Area W/ Tab 0.5895"" x 0.402""",5,Unit-Base M (Use for Finished Goods),7,"Fabricated Part - Internal Rectangle Area W/ Tab - 0.5895"" x 0.402""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,121.78,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,See Eric After Signoff,"Skip - 3/21/2022 - Follow up to make sure we are trimming the ends of the product when ceve slitting. 


EDD - 2/5/2020 - Needs RAM Scope or Keyence Routine
RB - 10/30/2019 - Delta dies ordered and JT updated.  
Skip - 3/20/2019 - Rich sent an email to Mark M. and Phil suggesting a new run method and re-estimating the job so we do not continue to struggle. Checked Order notification and Pre press meeting. "
1812,"Butt Cut Part Colored PVC or Paper Tabs 0.75"" x 2""",5,Unit-Base M (Use for Finished Goods),7,"Butt Cut Part - Colored PVC or Paper Tabs - 0.75"" x 2""",Strouse-HQ,FOR INTERNAL USE ONLY,TRUE,Average,Default Cost Category,TRUE,,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
1831,"Tape CSM 5 mil Teflon perfed at 12"" intervals 12"" x 6""",7,Length Units,25,"Tape - CSM 5 mil Teflon perfed at 12"" intervals - 12"" x 6""",Strouse-HQ,"Take a sample approx. 12"" in length from the beginning of each raw material roll prior to converting as well as the required sample from each finished roll post converting.",TRUE,Average,Default Cost Category,TRUE,401.81,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,SEE SPECIAL COMMENTS,10/18/2021 - RB - Made obsolete.  This comment was in the watermark.  SEE SPECIAL COMMENTS
2190,Die Cut Label White Litho Core Label 40mm x 12mm,5,Unit-Base M (Use for Finished Goods),7,Die Cut Label - White Litho Core Label - 40mm x 12mm,Strouse-HQ,Wind rolls as loose as possible!!!,TRUE,Average,Default Cost Category,TRUE,,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
2329,"Fabricated Part Adh. Area with Tab 0.500"" x 0.82""",5,Unit-Base M (Use for Finished Goods),7,"Fabricated Part - Adh. Area with Tab - 0.500"" x 0.82""",Strouse-HQ,Do Not Produce Overruns.,TRUE,Average,Default Cost Category,TRUE,2871.207,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
2347,Fabricated Tape ST-894 with internal die cuts 21mm x 10mm,7,Length Units,25,Fabricated Tape - ST-894 with internal die cuts - 21mm x 10mm,Strouse-HQ,A Ram Scope Routine has been created for this part. Instructions have been added to JJ to be used when setting up to run Routine.,TRUE,Average,Default Cost Category,TRUE,440.98,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,Obsoleted due to age since last order
2563,"Label White Matte Litho printed ""Elite Fasteners"", perfed between 2.75"" x 2.75""",5,Unit-Base M (Use for Finished Goods),7,"Label - White Matte Litho printed ""Elite Fasteners"", perfed between - 2.75"" x 2.75""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,50,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,"Ink 1
  Color: Black
  Ink Type: Water
  Anilox: 
  Print Cylinder: 69
  Vendor: ",,
2693,"Butt Cut Tape Silicone Tape Tabs 0.5"" x 2""",5,Unit-Base M (Use for Finished Goods),7,"Butt Cut Tape - Silicone Tape Tabs - 0.5"" x 2""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
2737,"Die Cut Part 25A29C with White tab 1"" x 1.25""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Part - 25A29C with White tab - 1"" x 1.25""",Strouse-HQ,"Order 25A29C @ 2000ft lengths  (LOG Form)
Order 55# liner pre-slit @ 5000ft lengths (if order size warrants it, otherwise slit here to lengths as long as can be)",TRUE,Average,Default Cost Category,TRUE,8.58,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,"11/29/2018 - Skip - The last retool seamed to have made a difference. The tool appears to be cutting fine without the use of a step up anvil. 
10/12/2018 - RB - Checked pre-press meeting so that Skip and RB would know when it went on press.  No need for a ""real"" pre-press meeting. The tool AB 942, should have been tooled to cut deeper. See email from Skip to Rich. 

6/18/2018 - Skip - Installed this die into the press after a retool and still had to use a 1/2 mil step-up to get it to cut correctly. When this order is done, we will send the tool back to Wilson to go a 1/2 mil deeper than the last time. 

10/31/2017 - Skip - Ran this job at the end of November and had issues cutting. Had to add a half mil step up anvil but still had a few parts going up with the matrix. We are sending the die back for retool and to have it tooled for hand application. Next run need to confirm if it made any difference. Need also to look at the die under the scope before it goes on press. Might be a good idea to be there when the die goes in to observe how it is being handled.  

1/4/2017 - Skip - Need to confirm the new die design / blade angle cuts better and does not leave hanging parts. "
