Item Name/Number,Internal Id,PACKAGING/FINISHING INSTRUCTIONS,Production Instruction
192,879,"Number Across Run/Finish –  1/1
Where Finished –  On Press
Length per Roll/Unit – 402'
Core Type –  3"" Paper 1/8"" Strouse Brown
Core Width – 5.750""
Core Label – Yes
Dividers – Corrugated
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  13 x 13 x 13
Qty. Per Box – 4 M
Weight/box – 38
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Paper 1/8"" Strouse Brown
Width – 5.750""
Number Across Run/FInish –  1/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  No
Pieces per roll/Unit – 500
Length per roll/unit –  402'
Finish – On Press
Application – Automatic"
194,880,"Number Across Run/Finish –  2/1
Where Finished –  On Press
Length per Roll/Unit – 110'
Core Type –  CS 3.0""
Core Width – 3""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  12 x 12 x 12
Qty. Per Box – 20 M
Weight/box – 20
Box Per Pallet – 
Pallet Type – ","Core  –  CS 3.0""
Width – 3""
Number Across Run/FInish –  2/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 500
Length per roll/unit –  110'
Finish – On Press
Application – Hand"
286,881,"Number Across Run/Finish –  2/1
Where Finished –  Web Techniques
Length per Roll/Unit – 510'
Core Type –  3"" Paper 1/8"" White Brown
Core Width – 4.125""
Core Label – Yes
Dividers – Corrugated on top and bottom
Bag Size – 
Qty. Per Bag – 2 Rolls
Box Size –  10 x 10 x 10
Qty. Per Box – 6 Rolls
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Paper 1/8"" White Brown
Width – 4.125""
Number Across Run/FInish –  2/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 1,000
Length per roll/unit –  510'
Finish – Web Techniques
Application – Hand"
519,882,"Number Across Run/Finish –  1/
Where Finished –  On Press
Length per Roll/Unit – 
Core Type –  3"" Paper (3/8"" wall)
Core Width – 3.937""
Core Label – Yes
Dividers – Paper
Bag Size – 
Qty. Per Bag – 
Box Size –  10 x 10 x 10
Qty. Per Box – 
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Paper (3/8"" wall)
Width – 3.937""
Number Across Run/FInish –  1/
Core Label – Yes
±10% –  OK
Unwind Dir. Run – N/A
Unwind Dir. Finish –  
Diecut/Continuous/Sheet –  Continuous
Partial Case –  Yes
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  
Finish – On Press
Application – Automatic"
1226,883,"Number Across Run/Finish –  4/4
Where Finished –  On Press
Length per Roll/Unit – 493'
Core Type –  3"" Paper 1/8"" White Brown
Core Width – 3.5""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 
Box Size –  14-1/4 x 9-1/2 x 12-5/8
Qty. Per Box – 8 Rolls
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Paper 1/8"" White Brown
Width – 3.5""
Number Across Run/FInish –  4/4
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 9,000
Length per roll/unit –  493'
Finish – On Press
Application – Hand"
1305,884,"Number Across Run/Finish –  1/1
Where Finished –  Web Techniques
Length per Roll/Unit – 500'
Core Type –  3"" Paper 1/8"" White Brown
Core Width – 8""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  11 x 11 x 8
Qty. Per Box – 2 M
Weight/box – 26
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Paper 1/8"" White Brown
Width – 8""
Number Across Run/FInish –  1/1
Core Label – Yes
±10% –  Ask
Unwind Dir. Run – 2
Unwind Dir. Finish –  1
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Ask
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  500'
Finish – Web Techniques
Application – Automatic"
1735,885,"Number Across Run/Finish –  4/4
Where Finished –  Off Press
Length per Roll/Unit – 425'
Core Type –  3"" Paper 1/8"" White Brown
Core Width – 4.25""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 
Box Size –  10 x 10 x 10
Qty. Per Box – 6 Rolls
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Paper 1/8"" White Brown
Width – 4.25""
Number Across Run/FInish –  4/4
Core Label – Yes
±10% –  OK
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 25,000
Length per roll/unit –  425'
Finish – Off Press
Application – Hand"
1771,886,"Number Across Run/Finish –  2/1
Where Finished –  Web Techniques
Length per Roll/Unit – 45'
Core Type –  3"" Paper 1/8"" White Brown
Core Width – 1.0""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  10 x 10 x 10
Qty. Per Box – 20 M
Weight/box – 5
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Paper 1/8"" White Brown
Width – 1.0""
Number Across Run/FInish –  2/1
Core Label – Yes
±10% –  OK
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 1,000
Length per roll/unit –  45'
Finish – Web Techniques
Application – Hand"
1812,887,"Number Across Run/Finish –  2/2
Where Finished –  On Press
Length per Roll/Unit – 210'
Core Type –  3"" Paper 1/8"" White Brown
Core Width – 5""
Core Label – No
Dividers – 
Bag Size – 
Qty. Per Bag – 
Box Size –  10 x 10 x 10
Qty. Per Box – 
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Paper 1/8"" White Brown
Width – 5""
Number Across Run/FInish –  2/2
Core Label – No
±10% –  Yes
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  210'
Finish – On Press
Application – Hand"
1831,888,"Number Across Run/Finish –  1/1
Where Finished –  On Press
Length per Roll/Unit – 500'
Core Type –  3"" Plastic
Core Width – 6""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  12 x 12 x 12
Qty. Per Box – 1 M/Ft
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Plastic
Width – 6""
Number Across Run/FInish –  1/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Continuous
Partial Case –  Yes
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  500'
Finish – On Press
Application – Automatic"
