Item Name/Number,Display Name/Code,Vendor Name/Code,Primary Units Type Internal ID,Primary Units Type,Primary Stock Unit,Primary Purchase Unit,Primary Consumption Unit,Primary Sales Unit,Description,Department,Location,PACKAGING/FINISHING INSTRUCTIONS,PACKAGING/FINISHING INSTRUCTIONS COMMENTS,P & S INSTRUCTIONS,PRODUCTION & SPECIAL INSTRUCTIONS,P & S COMMENTS,PRODUCTION & SPECIAL INSTRUCTIONS COMMENTS,Track Landed Cost,Costing Method,Cost Category,Purchase Description,Use Bin,Item Weight,Base Price,COGS Account,Asset Account,Income Account,WIP Account,Scrap Account,Tax Schedule,Ink,Watermark,Status Notes
2,"Slit Tape Internal Use UPVC 3/16"" x 1000Yd",2,3,"Each (Use for Boxes, Bags, Cores, Cases)",27,27,27,27,"Slit Tape - Internal Use UPVC - 3/16"" x 1000Yd",,Strouse-HQ,"Number Across Run/Finish –  30/1
Where Finished –  On Press
Length per Roll/Unit – 1,000 Yd
Core Type –  3"" Paper 1/8"" White Brown
Core Width – 0.1875""
Core Label – No
Dividers – 
Bag Size – 
Qty. Per Bag – 
Box Size –  10 x 10 x 10
Qty. Per Box – 
Weight/box – 
Box Per Pallet – 
Pallet Type – ",,"Core  –  3"" Paper 1/8"" White Brown
Width – 0.1875""
Number Across Run/FInish –  30/1
Core Label – No
±10% –  Yes
Unwind Dir. Run – Adh. In
Unwind Dir. Finish –  Adh. In
Diecut/Continuous/Sheet –  Continuous
Partial Case –  Yes
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  1,000 Yd
Finish – On Press
Application – Automatic","Core  –  3"" Paper 1/8"" White Brown
Width – 0.1875""
Number Across Run/FInish –  30/1
Core Label – No
±10% –  Yes
Unwind Dir. Run – Adh. In
Unwind Dir. Finish –  Adh. In
Diecut/Continuous/Sheet –  Continuous
Partial Case –  Yes
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  1,000 Yd
Finish – On Press
Application – Automatic",,,TRUE,Average,Default Cost Category,,TRUE,,,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
124,Slit Tape d/c PET 20mm x 33m,See Work order,3,"Each (Use for Boxes, Bags, Cores, Cases)",27,27,27,27,Slit Tape - d/c PET - 20mm x 33m,,Strouse-HQ,"Number Across Run/Finish –  58/1
Where Finished –  Off Press
Length per Roll/Unit – 36 Yd
Core Type –  As Recd.
Core Width – 0.787""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  10 x 10 x 10
Qty. Per Box – 50 Rolls
Weight/box – 19
Box Per Pallet – 
Pallet Type – ","Use label format ""124 xpedx"" if customer is xpedx.  

Use label format ""124 Dillon"" if customer is Dillon Supply.

Use label format ""124 Motion"" if customer is Motion Ind.","Core  –  As Recd.
Width – 0.787""
Number Across Run/FInish –  58/1
Core Label – Yes
±10% –  No
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Continuous
Partial Case –  No
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  36 Yd
Finish – Off Press
Application – Hand","Core  –  As Recd.
Width – 0.787""
Number Across Run/FInish –  58/1
Core Label – Yes
±10% –  No
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Continuous
Partial Case –  No
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  36 Yd
Finish – Off Press
Application – Hand",,,TRUE,Average,Default Cost Category,,TRUE,,9.49,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
133,"Die Cut Label Silver foil 5"" x 3/4""",See Work Order,3,"Each (Use for Boxes, Bags, Cores, Cases)",27,27,27,27,"Die Cut Label - Silver foil - 5"" x 3/4""",,Strouse-HQ,"Number Across Run/Finish –  4/1
Where Finished –  Web Techniques
Length per Roll/Unit – 214'
Core Type –  3"" Paper 1/8"" White Brown
Core Width – 0.875""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  13 x 13 x 13
Qty. Per Box – 25 Rolls
Weight/box – 8
Box Per Pallet – 
Pallet Type – ","For orders less than 100 rolls, finish on press.","Core  –  3"" Paper 1/8"" White Brown
Width – 0.875""
Number Across Run/FInish –  4/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 500
Length per roll/unit –  214'
Finish – Web Techniques
Application – Automatic","Core  –  3"" Paper 1/8"" White Brown
Width – 0.875""
Number Across Run/FInish –  4/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 500
Length per roll/unit –  214'
Finish – Web Techniques
Application – Automatic",,,TRUE,Average,Default Cost Category,,TRUE,,20,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,"3/20/2023 - RB - When CA 64 needs retool, order new 10"" die and matching underscore","3/20/2023 - RB - When CA 64 needs retool, order new 10"" die and matching underscore"
272,"Die Cut Tape Silver foil 3-9/16"" x 3/4""",706087,3,"Each (Use for Boxes, Bags, Cores, Cases)",27,27,27,27,"Die Cut Tape - Silver foil - 3-9/16"" x 3/4""",,Strouse-HQ,"Number Across Run/Finish –  4/1
Where Finished –  Web Techniques
Length per Roll/Unit – 151'
Core Type –  3"" Paper 1/8"" White Brown
Core Width – 0.875""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  10 x 10 x 10
Qty. Per Box – 25 Rolls
Weight/box – 28
Box Per Pallet – 
Pallet Type – ","For orders less than 100 rolls, finish on press.","Core  –  3"" Paper 1/8"" White Brown
Width – 0.875""
Number Across Run/FInish –  4/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 500
Length per roll/unit –  151'
Finish – Web Techniques
Application – Hand","Core  –  3"" Paper 1/8"" White Brown
Width – 0.875""
Number Across Run/FInish –  4/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 500
Length per roll/unit –  151'
Finish – Web Techniques
Application – Hand",,,TRUE,Average,Default Cost Category,,TRUE,,23.99,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
273,"Die Cut Label Silver foil
 4-1/16"" x 3/4""",706100,3,"Each (Use for Boxes, Bags, Cores, Cases)",27,27,27,27,"Die Cut Label - Silver foil
 - 4-1/16"" x 3/4""",,Strouse-HQ,"Number Across Run/Finish –  4/1
Where Finished –  Off Press
Length per Roll/Unit – 175'
Core Type –  3"" Paper (1/8"" wall)
Core Width – 0.875""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  11 x 11 x 8
Qty. Per Box – 25 Rolls
Weight/box – 26
Box Per Pallet – 
Pallet Type – ",DO NOT USE PVC TO TAB OR START ROLLS OR FOR SPLICES,"Core  –  3"" Paper (1/8"" wall)
Width – 0.875""
Number Across Run/FInish –  4/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  175'
Finish – Off Press
Application – Hand","Core  –  3"" Paper (1/8"" wall)
Width – 0.875""
Number Across Run/FInish –  4/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  175'
Finish – Off Press
Application – Hand",No UPVC Tape for any tabs or splicing.,No UPVC Tape for any tabs or splicing.,TRUE,Average,Default Cost Category,,TRUE,,39.195,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
278,"Slit Tape 1 mil Kaneka polyimide film with high temperature Adh. 5/8"" x 60Yd",,3,"Each (Use for Boxes, Bags, Cores, Cases)",27,27,27,27,"Slit Tape - 1 mil Kaneka polyimide film with high temperature Adh. - 5/8"" x 60Yd",,Strouse-HQ,"Number Across Run/Finish –  8/1
Where Finished –  On Press
Length per Roll/Unit – 60 Yd
Core Type –  3"" Plastic 0.375"" HDPE
Core Width – 0.625""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  18 1/4 x 12 1/4 x 12 1/4
Qty. Per Box – 48 Rolls
Weight/box – 
Box Per Pallet – 
Pallet Type – ","- *Polyimide Raw Material Lot # must be on both Core and Box Labels; Do not truncate, use full Lot #.
- *Do NOT mix Lot #'s of Polyimide.
- *Do NOT label rolls with the Strouse Work Order Number.
- Heat seal each roll and pack 12 per bag (close with a twist tie).  Line box with a large bag before loading the bags of 12.

Include a Strouse C of C (with *Kaneka* DOM & Lot #)","Core  –  3"" Plastic 0.375"" HDPE
Width – 0.625""
Number Across Run/FInish –  8/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Polyimide Out
Unwind Dir. Finish –  Polyimide Out
Diecut/Continuous/Sheet –  Continuous
Partial Case –  Yes
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  60 Yd
Finish – On Press
Application – Hand","Core  –  3"" Plastic 0.375"" HDPE
Width – 0.625""
Number Across Run/FInish –  8/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Polyimide Out
Unwind Dir. Finish –  Polyimide Out
Diecut/Continuous/Sheet –  Continuous
Partial Case –  Yes
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  60 Yd
Finish – On Press
Application – Hand","Kaneka Polyimide ONLY.  Do NOT mix Lot #'s of Polyimide.

Note photo of gapped roll.  This is unacceptable.","Kaneka Polyimide ONLY.  Do NOT mix Lot #'s of Polyimide.

Note photo of gapped roll.  This is unacceptable.",TRUE,Average,Default Cost Category,,TRUE,,49,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
322,Die Cut Tape Silver PET 120mm x 19mm,47547855,3,"Each (Use for Boxes, Bags, Cores, Cases)",27,27,27,27,Die Cut Tape - Silver PET - 120mm x 19mm,,Strouse-HQ,"Number Across Run/Finish –  4/1
Where Finished –  On Press
Length per Roll/Unit – 108'
Core Type –  3"" Paper 1/8"" Strouse Brown
Core Width – 0.875""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Rolls
Box Size –  10 x 10 x 10
Qty. Per Box – 12 
Weight/box – 15
Box Per Pallet – 
Pallet Type – ","
","Core  –  3"" Paper 1/8"" Strouse Brown
Width – 0.875""
Number Across Run/FInish –  4/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  108'
Finish – On Press
Application – Automatic","Core  –  3"" Paper 1/8"" Strouse Brown
Width – 0.875""
Number Across Run/FInish –  4/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  108'
Finish – On Press
Application – Automatic","*** WEB AROUND THE LEAST AMOUNT OF ROLLERS TO AVOID SCRATCHES IN SILVER***
","*** WEB AROUND THE LEAST AMOUNT OF ROLLERS TO AVOID SCRATCHES IN SILVER***
",TRUE,Average,Default Cost Category,,TRUE,,31.44,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
461,Butt Cut Tape d/c PET 19mm x 19mm,033246,3,"Each (Use for Boxes, Bags, Cores, Cases)",27,27,27,27,Butt Cut Tape - d/c PET - 19mm x 19mm,,Strouse-HQ,"Number Across Run/Finish –  8/1
Where Finished –  On Press
Length per Roll/Unit – 36 Yd
Core Type –  3"" Plastic 0.10"" HDPE
Core Width – 0.75""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  
Qty. Per Box – 50 Rolls
Weight/box – 17
Box Per Pallet – 
Pallet Type – ",,"Core  –  3"" Plastic 0.10"" HDPE
Width – 0.75""
Number Across Run/FInish –  8/1
Core Label – Yes
±10% –  No
Unwind Dir. Run – Adh. In.
Unwind Dir. Finish –  
Diecut/Continuous/Sheet –  Continuous Die Cut
Partial Case –  No
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  36 Yd
Finish – On Press
Application – Hand","Core  –  3"" Plastic 0.10"" HDPE
Width – 0.75""
Number Across Run/FInish –  8/1
Core Label – Yes
±10% –  No
Unwind Dir. Run – Adh. In.
Unwind Dir. Finish –  
Diecut/Continuous/Sheet –  Continuous Die Cut
Partial Case –  No
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  36 Yd
Finish – On Press
Application – Hand",No UPVC Tape for any tabs or splicing.,No UPVC Tape for any tabs or splicing.,TRUE,Average,Default Cost Category,,TRUE,,12.38,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
526,Fabricated Part d/c PET 16mm x 19mm,See Work Order,3,"Each (Use for Boxes, Bags, Cores, Cases)",27,27,27,27,Fabricated Part - d/c PET - 16mm x 19mm,,Strouse-HQ,"Number Across Run/Finish –  8/1
Where Finished –  Off Press
Length per Roll/Unit – 36 Yd
Core Type –  3"" Paper 1/8"" Strouse Brown
Core Width – 0.625""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  12 x 12 x 12
Qty. Per Box – 36 Rolls
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Use label format ""526 xpedx"" if customer is xpedx.  
Use label format ""526 Dillon"" if customer is Dillon Supply.
Use label format ""526 Motion"" if customer is Motion Ind.
Core label ""526 Core""","Core  –  3"" Paper 1/8"" Strouse Brown
Width – 0.625""
Number Across Run/FInish –  8/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Adh. In
Unwind Dir. Finish –  Adh. In
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  36 Yd
Finish – Off Press
Application – Hand","Core  –  3"" Paper 1/8"" Strouse Brown
Width – 0.625""
Number Across Run/FInish –  8/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Adh. In
Unwind Dir. Finish –  Adh. In
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  36 Yd
Finish – Off Press
Application – Hand",No UPVC Tape for any tabs or splicing.,No UPVC Tape for any tabs or splicing.,TRUE,Average,Default Cost Category,,TRUE,,17.97,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
602,"Die Cut Part Checkered Splice Tape PM Code: 345-5412 1"" x 3/4""",See Work Order,3,"Each (Use for Boxes, Bags, Cores, Cases)",27,27,27,27,"Die Cut Part - Checkered Splice Tape PM Code: 345-5412 - 1"" x 3/4""",,Strouse-HQ,"Number Across Run/Finish –  6/1
Where Finished –  Off Press
Length per Roll/Unit – 36 Yd
Core Type –  3"" Paper 1/8"" Strouse Brown
Core Width – 1""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  12 x 12 x 12
Qty. Per Box – 50 Rolls
Weight/box – 21
Box Per Pallet – 
Pallet Type – ","Use blue silicone tape for everything, splicing, starting and tabbing.

DO NOT USE UPVC TAPE FOR ANYTHING!!!!!  

NO PARTIAL CASE ACCEPTED","Core  –  3"" Paper 1/8"" Strouse Brown
Width – 1""
Number Across Run/FInish –  6/1
Core Label – Yes
±10% –  No
Unwind Dir. Run – Out
Unwind Dir. Finish –  Out
Diecut/Continuous/Sheet –  Continuous Die Cut
Partial Case –  No
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  36 Yd
Finish – Off Press
Application – Hand","Core  –  3"" Paper 1/8"" Strouse Brown
Width – 1""
Number Across Run/FInish –  6/1
Core Label – Yes
±10% –  No
Unwind Dir. Run – Out
Unwind Dir. Finish –  Out
Diecut/Continuous/Sheet –  Continuous Die Cut
Partial Case –  No
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  36 Yd
Finish – Off Press
Application – Hand","Use Cevi Juice
Note: Use SA 493 as first choice to run 6 across. SA 11 can be used as a backup. No UPVC Tape for any tabs or splicing.","Use Cevi Juice
Note: Use SA 493 as first choice to run 6 across. SA 11 can be used as a backup. No UPVC Tape for any tabs or splicing.",TRUE,Average,Default Cost Category,,TRUE,,30.64,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,"Ink 1
  Color: PMS 199 Red
  Ink Type: Alcohol
  Anilox: 300
  Print Cylinder: 65
  Vendor: ",,
