Bill of Materials,Bill of Materials Id,Revision Name,Memo,Length,Comment
"2 - Slit Tape Internal Use UPVC 3/16"" x 1000Yd",120,"2 - Slit Tape Internal Use UPVC 3/16"" x 1000Yd",,,
124 - Slit Tape d/c PET 20mm x 33m,121,124 - Slit Tape d/c PET 20mm x 33m,,,
"133 - Die Cut Label Silver foil 5"" x 3/4""",122,"133 - Die Cut Label Silver foil 5"" x 3/4""",,,
"192 - Die Cut Part PE face shields 9-7/16"" x 4-3/16""",123,"192 - Die Cut Part PE face shields 9-7/16"" x 4-3/16""",,,
"194 - Die Cut Label Silver foil disks on 3"" cores 2-1/2""",124,"194 - Die Cut Label Silver foil disks on 3"" cores 2-1/2""",,,
"272 - Die Cut Tape Silver foil 3-9/16"" x 3/4""",125,"272 - Die Cut Tape Silver foil 3-9/16"" x 3/4""",,,
"273 - Die Cut Label Silver foil
 4-1/16"" x 3/4""",126,"273 - Die Cut Label Silver foil
 4-1/16"" x 3/4""",,,
"278 - Slit Tape 1 mil Kaneka polyimide film with high temperature Adh. 5/8"" x 60Yd",127,"278 - Slit Tape 1 mil Kaneka polyimide film with high temperature Adh. 5/8"" x 60Yd",,,
"286 - Die Cut Label White Thermal Transfer 6"" x 4""",128,"286 - Die Cut Label White Thermal Transfer 6"" x 4""",,,
322 - Die Cut Tape Silver PET 120mm x 19mm,129,322 - Die Cut Tape Silver PET 120mm x 19mm,,,
461 - Butt Cut Tape d/c PET 19mm x 19mm,130,461 - Butt Cut Tape d/c PET 19mm x 19mm,,,
"519 - Core Liner, Two color with the Strouse Logo and ""The Strouse Corporation"" 3-15/16""",131,"519 - Core Liner, Two color with the Strouse Logo and ""The Strouse Corporation"" 3-15/16""",,,
526 - Fabricated Part d/c PET 16mm x 19mm,132,526 - Fabricated Part d/c PET 16mm x 19mm,,,
"602 - Die Cut Part Checkered Splice Tape PM Code: 345-5412 1"" x 3/4""",133,"602 - Die Cut Part Checkered Splice Tape PM Code: 345-5412 1"" x 3/4""",,,
