Strouse Cat ID,Item Name/Number,Vendor Name/Code,Primary Units Type,Primary Units Type ID,Department,Location,Track Landed Cost,Costing Method,Cost Category,Purchase Description,Use Bin,Purchase Price,Bin Number,Preferred (Per Location),COGS Account,Asset Account,Income Account,Tax Schedule
1322,1043-W2,1043,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"Polyester, 1 mil DuPont Mylar Grade A",TRUE,0.0056304,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
1594,55 lb. Tight C1S-W7,55 lb. Tight C1S,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,55 lb. Tight C1S Densified Kraft Release Liner,TRUE,0.0315,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
1609,55 lb. Tight C1S-W2,55 lb. Tight C1S,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,55 lb. Tight C1S Densified Kraft Release Liner,TRUE,0.009,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
1706,1043-W3.5,1043,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"Polyester, 1 mil DuPont Mylar Grade A",TRUE,0.007266,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
1995,1043-W0.375,1043,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"Polyester, 1 mil DuPont Mylar Grade A",TRUE,0.001055688,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
2103,1043-W1,1043,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"Polyester, 1 mil DuPont Mylar Grade A",TRUE,0.0028152,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
2235,24S56W-W48,24S56W,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,White Protective Polyethylene,TRUE,0.414,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
2398,55 lb. Tight C1S-W4,55 lb. Tight C1S,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,55 lb. Tight C1S Densified Kraft Release Liner,TRUE,0.01942446,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
2454,78 lb. C1S-W10.25,78 lb. C1S,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,4.5 mil C1S Silicone Easy Release Liner,TRUE,0.015621,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
2464,55 lb. Tight C1S-W4.25,55 lb. Tight C1S,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,55 lb. Tight C1S Densified Kraft Release Liner,TRUE,0.019125,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
