Strouse Cat ID,Item Name/Number,Vendor Name/Code,Primary Units Type,Primary Units Type ID,Department,Location,Track Landed Cost,Costing Method,Cost Category,Purchase Description,Use Bin,Purchase Price,Vendor 1 Name,Vendor 1 Id,Vendor 1 Subsidiary,Vendor 1 Preferred,Vendor 1 Purchase Price,Bin Number,Preferred (Per Location),COGS Account,Asset Account,Income Account,Tax Schedule
2,505E-W7,505E,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"DSX 50/50 w/s-490 adhesive. 
",TRUE,,Fasson / Avery Dennison Label & Packaging Materials     (acct. 5387),3246,The Strouse Corporation,TRUE,,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
4,03146-W3,03146,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,Matte Litho w/AT20 Permanent Adhesive,TRUE,0.018033573,Fasson / Avery Dennison Label & Packaging Materials     (acct. 5387),3246,The Strouse Corporation,TRUE,0.018033573,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
52,10092-W3,10092,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,1 mil Clear Poly Overlam,TRUE,0.038654,"FLEXcon Company, Inc.",3247,The Strouse Corporation,TRUE,0.038654,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
302,500Wpvc-W0.5,500Wpvc,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,White UPVC,TRUE,0.00361547,The Strouse Corporation,3138,The Strouse Corporation,TRUE,0.00361547,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
330,234-W6,234,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,General Purpose Masking Tape,TRUE,0.053621988,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,0.053621988,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
381,SJ3530 - Black-W1,SJ3530 - Black,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"Hook, Rubber, Black, General Purpose PSA",TRUE,0.348,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,0.348,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
405,396-W2,396,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"4 mil, Clear Super Bond Film",TRUE,0.361111111,ULINE,3330,The Strouse Corporation,TRUE,0.361111111,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
414,4116-W1.5,4116,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"Foam, 1/16"", 350, single coated white",TRUE,0.566361,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,0.566361,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
455,6582-W48,6582,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,Premask Application Tape 300,TRUE,0.623166667,American Biltrite,3238,The Strouse Corporation,TRUE,0.623166667,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
482,4492W-W0.75,4492W,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"1/32"", 430, Double Coated White ",TRUE,0.132715741,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,0.132715741,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
