Strouse Cat ID,Item Name/Number,UPC Code,Display Name/Code,Vendor Name/Code,Primary Units Type,Primary Units Id,Department,Location,Track Landed Cost,Costing Method,Cost Category,Purchase Description,Use Bin,Purchase Price,Vendor 1 Name,Vendor 1 Subsidiary,Vendor 1 Preferred,Vendor 1 Purchase Price,Bin Number,Preferred (Per Location),COGS Account,Asset Account,Income Account,Tax Schedule
19354,7960 - 0.25-W0.25,,,7960 - 0.25,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,Anchor adhesive,TRUE,0.055221286,,The Strouse Corporation,FALSE,0.055221286,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
16059,5850-W50,,,5850,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,Scotch Clean View Clear Pad/ 20 sheets per pad/6 pads per Case,TRUE,4.050208333,"3M Company, Inc. Converter Markets",The Strouse Corporation,TRUE,4.050208333,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
20934,8390-W3,,,8390,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"2"" x 3"" Bag Labels - For Senseonics",TRUE,0,,The Strouse Corporation,FALSE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
20935,1001-W4,,,1001,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"2.5"" x 4"" Labels - Strouse made in house",TRUE,0,,The Strouse Corporation,FALSE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
20968,54 lb. C1S S0(BG0)-W2.75,,,54 lb. C1S S0(BG0),Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,3.2 mil 54 lb. Easy Release C1S Liner,TRUE,0.0095997,"Channeled Resources, Inc. (GMC Coatings)",The Strouse Corporation,TRUE,0.0095997,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21288,8916-W3,,,8916,Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"1.5"" x 3"" Bag Labels - For Senseonics",TRUE,0,,The Strouse Corporation,FALSE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
22657,S-5953-W4,,,S-5953,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,"Industrial Thermal Transfer Labels - 4"" x 2.5"" 2,200/roll - For Senseonics",TRUE,10.8,ULINE,The Strouse Corporation,TRUE,10.8,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
23105,"VCI Sheeting, Blue-W5.69-T4",,,"VCI Sheeting, Blue",Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"VCI Sheeting, 4 mil, Blue",TRUE,0.07112,,The Strouse Corporation,FALSE,0.07112,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
23106,"VCI Sheeting, Blue-W5.75-T4",,,"VCI Sheeting, Blue",Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"VCI Sheeting, 4 mil, Blue",TRUE,0.07188,,The Strouse Corporation,FALSE,0.07188,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
23145,3150.160-W6.29 - CatID-23145,,,3150.160,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,CSM - 2.5 mm Hydrophilic PU foam UNCOATED,TRUE,0,,The Strouse Corporation,FALSE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
23337,"VCI Sheeting, Blue-W3-T4",,,"VCI Sheeting, Blue",Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"VCI Sheeting, 4 mil, Blue",TRUE,0.0375,,The Strouse Corporation,FALSE,0.0375,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
23338,"VCI Sheeting, Blue-W2.3-T4",,,"VCI Sheeting, Blue",Length Units,7,Operations,Strouse-HQ,,Average,Default Cost Category,"VCI Sheeting, 4 mil, Blue",TRUE,0.02876,,The Strouse Corporation,FALSE,0.02876,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
