JobJacket( Extrnal Id ),Item Internal Id,Assembly Number,JobJackets::InspectionComments,JobJackets::PreferredMeasuringMethod,JobJackets::SampleFreq,JobJackets::TolerancesRequiredBy,JobJackets::_fk_InspectionTemplateID,JobJackets::Status
2,1680,"Slit Tape Internal Use UPVC 3/16"" x 1000Yd",Units are Inches,,Every set,Strouse,,
124,1681,Slit Tape d/c PET 20mm x 33m,"Units are mm
Use Calipers",,25 rolls,,,
133,1682,"Die Cut Label Silver foil 5"" x 3/4""","Units are Inches
May use Rule",,30 Rolls,,,
192,879,"Die Cut Part PE face shields 9-7/16"" x 4-3/16""",Units are Inches,,"1,000",,,
194,880,"Die Cut Label Silver foil disks on 3"" cores 2-1/2""",Units are Inches,,"10,000",,,
272,1683,"Die Cut Tape Silver foil 3-9/16"" x 3/4""",Units are Inches,,8 rolls,,,
273,1684,"Die Cut Label Silver foil
 4-1/16"" x 3/4""",Units are Inches,,25 rolls,,,
278,1685,"Slit Tape 1 mil Kaneka polyimide film with high temperature Adh. 5/8"" x 60Yd",Units are Inches,,8 rolls,,,
286,881,"Die Cut Label White Thermal Transfer 6"" x 4""",Units are Inches,,"10,000",,,
322,1686,Die Cut Tape Silver PET 120mm x 19mm,Measure in mm,,20 (rolls),,,
461,1687,Butt Cut Tape d/c PET 19mm x 19mm,Units are mm,,24 rolls,,,
519,882,"Core Liner, Two color with the Strouse Logo and ""The Strouse Corporation"" 3-15/16""",Units are Inches,,Finished roll,,,
526,1688,Fabricated Part d/c PET 16mm x 19mm,Units are mm,,18 rolls,,,
602,1689,"Die Cut Part Checkered Splice Tape PM Code: 345-5412 1"" x 3/4""",Units are Inches,,25 rolls,,,
618,1690,"Die Cut Part Checkered Splice Tape PM Code: 345-5411 3/4"" x 3/4"" x 36Yd",Units are Inches,,60 rolls,,,
760,1691,"Butt Cut Tape Silver splice 3/4"" x 3.73"" x 60Yd",Units are Inches,,5 (rolls),,,
814,1692,Slit Tape Premask application tape See Work order,Units are Inches,,2 rolls,,,
847,1693,"Die Cut Label Silver foil 2-1/2"" x 3/4""",Units are Inches,,10 rolls,,,
1088,1694,"Tape White Imprintable PET tape printed Yellow, Blue & Black with ""Hydraulic"" 1.936"" x 60Yd",Units are Inches,,15 Rolls,,,
1200,1695,"Die Cut Label Post-a-Dots 1"" Dia",Units are Inches,Scale/Ruler,8 rolls,,,
1226,883,"Die Cut Label White Thermal Transfer labels 2-1/2"" x 3/4""",Units are Inches,,3 rolls,,,
1286,1696,Tape PP. 48mm x 110Yd,Units are mm,,144 rolls,,,
1305,884,"Butt Cut Label White/Blue ""IBM"" 200mm x 200mm",Units are mm,,"3,000 parts",,,
1311,1697,"Fabricated Part 2 mil polyimide film with high temperature Adh. on PET liner supplied on plastic cores 5/8"" x 60Yd",Units are Inches,,8 rolls,,,
1386,1698,"Butt Cut Part PET, Checkerboard 3/4"" X 3/4"" X 36Yd",Units are Inches,,18 rolls,,,
1497,1699,"d/c Tape Printed with Red Arrow every 2"" 1"" x 36Yd",Units are Inches,,30 rolls,,,
1633,1700,"Fabricated Part White poly-backed 3 ply tissue laminated with 1/2"" wide Adh. transfer and printed/perfed every 13"" 5-1/2"" x 108'",Units are Inches,,12 rolls,,,
1735,885,"Die Cut Label White Litho Core Label 15/16"" x 11/16""",Units are Inches,,"25,000 or each roll",,,
1751,1701,"Slit Tape Yellow UPVC printed ""Inspected...P-2178"" 3/4"" x 72Yd (66m)",Units are Inches,,64 rolls,,,
1771,886,"Fabricated Part Internal Rectangle Area W/ Tab 0.5895"" x 0.402""",Units are Inches,,5 rolls,,,See Eric After Signoff
1783,1702,"Slit Tape Yellow UPVC printed ""Inspected...P-7903"" 3/4"" x 72Yd (66m)",Units are Inches,,64 rolls,,,
1796,1703,"Slit Tape Yellow UPVC printed ""Inspected...P-1318"" 3/4"" x 72Yd (66m)",Units are Inches,,64 rolls,,,
1829,1704,"Fabricated Part Slit Dupont Grade A Mylar 1/2"" x 1,000'",Units are Inches,Scale/Ruler,50,,,
1831,888,"Tape CSM 5 mil Teflon perfed at 12"" intervals 12"" x 6""","Note (1) Raw Material failure does not cause Strouse product reject.
Units are Inches",,finished roll,,,SEE SPECIAL COMMENTS
1878,1705,"Butt Cut Foam Single coated, 2 across, 1/16"" thick 3/4"" x 3/4""","Units are Inches
Wind foam side out.",,10 rolls,,,
2186,1706,"Printed Tape White PVC Printed printed black ""IN"" 1/2"" x 80Yd",Units are Inches,,22 rolls,,,
2187,1707,"Printed Tape White PVC Printed printed black ""OUT"" 1/2"" x 80Yd",Units are Inches,,22 rolls,,,
2190,889,Die Cut Label White Litho Core Label 40mm x 12mm,Units are mm,mm Ruler,"42,352",,,
2191,1708,Butt Cut Tape d/c PET 19mm x 15mm x 36Yd,Units are mm,,25 rolls,,,
2282,1709,"Butt Cut Tape d/c PET with printed checkerboard pattern 3/4"" x 0.455"" x 36Yd",Units are Inches,,25 rolls,,,
2314,1710,Butt Cut Tape d/c PET 19mm x 19mm,Units are mm,,24 rolls,,,
2329,890,"Fabricated Part Adh. Area with Tab 0.500"" x 0.82""",Units are Inches,,Roll requires 3 inspections,,,
2347,891,Fabricated Tape ST-894 with internal die cuts 21mm x 10mm,"Units are Inches
Check length every roll",,"2,000 ft",,,
2377,1711,"Printed Tape White tape with Red Arrows 1/2"" x 72Yd",Units are Inches,,22 rolls,,,
2387,1712,"Fabricated Part Perimeter Edge Seal printed Blue 1"" x 50'",Units are Inches,,5 rolls,,,
2413,1713,"Tape 3M 9472 with double extended liner 4-3/4"" x 60Yd with 1/2"" tab",Units are Inches,,2 rolls,,,
2563,892,"Label White Matte Litho printed ""Elite Fasteners"", perfed between 2.75"" x 2.75""",Units are Inches,,"4,000 labels",,,
2693,893,"Butt Cut Tape Silicone Tape Tabs 0.5"" x 2""",Units are Inches,,"10,080",,,
2700,1714,"Die Cut Part Tabs, Adh. printed with ""Press...Lift Off"" 1/2"" x 1""",Units are Inches,,20 rolls,,,
2737,894,"Die Cut Part 25A29C with White tab 1"" x 1.25""",Units are Inches,,"20,000 parts",,,
2749,895,"Fabricated Part Adh. Preform 500"" x 1.150""",Units are Inches.  Tightened Inspection following CAR,,"2,500 parts",,,
2812,1715,"Tape Linerless Beaming 7/8"" x 60Yd",Units are Inches,,12 rolls,,,
2876,1716,"Tape 3M 444 1/4"" x 36Yd",Units are Inches,,6,,,
2886,896,"Fabricated Part Adh. Preform 500"" x 1.244""",Units are Inches,,500 parts,,,
2926,897,"Die Cut Part Black Lexan with 3M LSE Adh. one side 1"" Dia",Units are Inches,,"16,000 parts",,,
3027,1717,"Foam 0.125""T 2AFR Volara with PSA-60 2.5"" x 100'",Units are Inches,,22 rolls,Strouse,,
3034,1718,"Butt Cut Tape Silver Splice 3/4"" x 2.125"" x 60Yd",Units are Inches,,6 rolls,,,
3036,898,Fabricated Tape ST-894 with internal die cuts 48 x 30,"Units are Inches
Check length every roll",Keyence Routine,"2,000 ft",,,
3053,899,"Die Cut Part PTFE Supplied 3 across 1/4"" Dia",Units are Inches,,"20,720 parts",,,
3082,900,"Sheeted Part 90# C2S tabs with 1/2"" RED STRIPE 1"" x 4""",Units are Inches,,"2,000 parts",,,
3083,901,"Sheeted Part 90# C2S tabs with 1/2"" GREEN STRIPE 1"" x 4""",Units are Inches,,"2,000 parts",,,
3114,902,"Sheeted Label 3M 7323 Silver PET 27 pcs/sheet 8.5"" x 6.25""",Units are Inches,,500,,,Notify Eric Dubs after sign off
3115,1719,"Tape White UPVC Floodcoated Brown 0.936"" x 80Yd",Units are Inches,,12 rolls,,,
3127,1720,Clear Film Pressure Sensitive 19.8mm + 0.4mm x 1000',Units are mm,,14 rolls,,,
3136,903,Fabricated Tape ST-741 with internal die cuts 15 X 20,"Units are Inches
Check length every roll",,"2,000 ft",,,
3141,1721,"Tape ST-869 w/ extended liner 1/2"" x 1000'",Units are Inches,,4 rolls,,,
3164,904,"Die Cut Tape 3M 4950, one side deadened 9.52mm OD x 3.56mm ID",Units are mm,,500 parts,Customer,,
3282,905,Die Cut Label White Vinyl Printed Orange & Black 46mm x 109mm,Units are mm,,"10,000 labels",Customer,,
3304,1722,"Tape Matte White PET, No PSA
 1.936"" x 60Yd",Units are Inches,,6 rolls,,,
3314,1723,"Slit Adh 9495MP 1-1/8"" x 60Yd",Units are Inches,,5 rolls,,,
3345,906,"Fabricated Part UHMW with 3M VHB 1.625"" x 1.625""",Units are Inches,,50 parts,,,
3356,907,"CSM Sheeted Infrared 3/4"" x 3/4""","Look at 40 samples from different areas of each finished bag for mis-cuts, also look for mis-cuts as you sift.  From each bag, record pass/fail of 4 parts.  ",,"4,800 pcs",,,
3368,1724,"Printed Tape White UPVC Printed black ""EM 8100"" 1/2"" x 80Yd",Units are Inches,,22 rolls,,,
3479,908,Butt Cut Tape d/c Case Insulation Tape Tabbed 14mm x 18.5mm,Units are mm,,"20,000",,,
3516,909,"Fabricated Part UHMW with 3M VHB 36.25"" x 0.875"" with 0.125"" corners",Units are Inches,,25,,,
3524,910,"Fabricated Part 1/16""T EPDM with 3M VHB 0.625"" O.D with 0.218"" I.D",Units are Inches,,500 parts,,,
3538,911,"Die Cut Mask 3M 2750 on 78# Liner 12"" X 13""",Units are Inches,,"1,000 parts",,,
3551,912,Die Cut Label 3M 7818 25mm X 50mm,Units are mm,,"4,000 parts",,,
3614,913,"Sheeted Part CSM 0.020 T Clear PVC 20"" x 20""",Units are Inches,,"1,000 Sheets",,,
3653,1725,Butt Cut Label Black Matte Paper Label 112mm X 20mm,Units are mm,,14 rolls,,,
3664,914,"Die Cut Foam 3M 4052 0.33"" X 1.145"" incl. tab","Units are Inches
Tolerance = +/- 1/32",,"7,000 pcs",,,
3683,915,"Fabricated Part 1/16""T EPDM with 3M VHB 0.750"" O.D with 0.330"" I.D",Units are Inches,,500 parts,,,
3713,1726,"Die Cut Label Silver foil 4.5"" x 3/4""",Units are Inches,,25 Rolls,,,
3771,916,"Die Cut foam End Foam 1.9375"" x 0.5424""",Units are Inches,,710 parts,,,See Eric After Signoff
4115,917,"Foam Squares 3M 4492, supplied 4 to a pad 1"" X 1""",Units are Inches,,"5,000 parts",,,
4121,1727,"Tape 3M 231 1"" x 60Yd",Units are Inches,,36 rolls,,,
4147,1728,"Butt Cut Tape Silver splice 2"" x 2""",  Dimensions in Inches,,8 rolls,,,
4200,918,"Sheeted Part 3M 4492 white w/ extended liner both sides 1/2 "" X 4""",Units are Inches,,"10,000 parts",,,
4220,919,"Fabricated Part UHMW (White) with 3M VHB 3/'8"" Dia",Units are Inches,,250 parts,,,
4255,1729,"CSM, 24"" x 500' Film Laminated to 3M 9471 Slit to 4 rolls, sheeted every 4.80"" 4.80” x 5.25""",Units are Inches,,"2,000 parts",,,
4276,920,"Fabricated Tape 10 x 15 strip, ST-741 with internal die cuts 8.0"" x 3.7""","Units are Inches
Check length every roll",,2000 ft,,,Eric needs to create inspection routine.
4398,921,"Die Cut Label Thermal transfer printable, 3M FP022102 3"" x 3""",Units are Inches,,"2,000 labels",,,
4467,922,"Die Cut Part PET blocker, 3 mil PET with 3M 9832 2.01"" x 1.69""",Units are Inches,,"6,000 parts",,,See Eric After Signoff
4494,923,"Butt Cut Part Dead area 0.25"" wide in center of part 0.125"" x 0.625""",Units are Inches,,"20,000",,,
4516,1730,"Slit Tape ST 934 3/8"" x 60Yd",Units are Inches,,Boxed Item,,,Boxed Item - Repackaging
