,,subsidiary,entityId,isperson,salutation,firstname,middlename,lastname,title,,companyname,Rep,email,phone,altphone,fax,Address1_AddressName,Address1_attention,Address1_Addressee,Address1_phone,Address1_line1,Address1_line2,Address1_city,Address1_state,Address1_zipCode,Address1_country,Address1_defaultBilling,Address1_defaultShipping,terms,taxable
,,Subsidiary,Customer ID,Individual,Mr./Ms…,First Name,Middle Name,Last Name,Job Title,Parent Company,Company Name,Sales Rep,Email,Phone,Alt. Phone,Fax,Label,Attention,Addressee,Phone,Address 1,Address 2,City,Province/State,Postal Code/Zip,Country,Default Billing,Default Shipping,Terms,Taxable
1,1,,QPE214238,,,,,,,3M,"3M Company, IATD",Diane Edwards,,(612) 733-1966,,,Mailing,,"3M Company, IATD",,P.O. Box 33121,,St. Paul,MN,55133-3121,United States,FALSE,FALSE,net 45,TRUE
2,1,,QPE214238,,,,,,,,,,,,,,Billing,,"3M Company, IATD",,P.O. Box 33121,,St. Paul,MN,55133-3121,United States,TRUE,FALSE,,
3,1,,QPE214238,,,,,,,,,,,,,,Shipping,,"3M Company, IATD",,,,,,,,FALSE,TRUE,,
1,2,,YAE139452,,,,,,,,The Strouse Corporation,Strouse,,,,,Mailing,,The Strouse Corporation,,1211 Independence Way,,Westminster,MD,21157-0000,United States,FALSE,FALSE,Net 30,FALSE
2,2,,YAE139452,,,,,,,,,,,,,,Billing,,The Strouse Corporation,,1211 Independence Way,,Westminster,MD,21157-0000,United States,TRUE,FALSE,,
3,2,,YAE139452,,,,,,,,,,,,,,Shipping,,The Strouse Corporation,,1211 Independence Way,,Westminster,MD,21157-0000,United States,FALSE,TRUE,,
1,3,,OSW371044,,,,,,,3M,"3M Company, Inc. Converter Markets",,,(800) 328-1681,(800) 273-3820,(800) 258-7511,Mailing,,"3M Company, Inc. Converter Markets",,PO Box 269-F,,St Louis,MO,63150-0269,United States,FALSE,FALSE,Net 30,TRUE
2,3,,OSW371044,,,,,,,,,,,,,,Billing,,"3M Company, Inc. Converter Markets",,PO Box 269-F,,St Louis,MO,63150-0269,United States,TRUE,FALSE,,
3,3,,OSW371044,,,,,,,,,,,,,,Shipping,,"3M Company, Inc. Converter Markets",,3M Center Building 220-7W-03,,St Paul,MN,55144-1000,United States,FALSE,TRUE,,
