entityId,internalId,Address1_AddressName,Address1_attention,Address1_Addressee,Address1_phone,Address1_line1,Address1_line2,Address1_city,Address1_state,Address1_zipCode,Address1_country,Address1_defaultBilling,Address1_defaultShipping
Customer ID,Internal Id,Label,Attention,Addressee,Phone,Address 1,Address 2,City,Province/State,Postal Code/Zip,Country,Default Billing,Default Shipping
QPE214238,1095,Mailing,,"3M Company, IATD",,P.O. Box 33121,,St. Paul,MN,55133-3121,United States,N,N
QPE214238,1095,Billing,,"3M Company, IATD",,P.O. Box 33121,,St. Paul,MN,55133-3121,United States,Y,N
QPE214238,1095,Shipping,,"3M Company, IATD",,,,,,,,N,Y
YAE139452,1096,Mailing,,The Strouse Corporation,,1211 Independence Way,,Westminster,MD,21157-0000,United States,N,N
YAE139452,1096,Billing,,The Strouse Corporation,,1211 Independence Way,,Westminster,MD,21157-0000,United States,Y,N
YAE139452,1096,Shipping,,The Strouse Corporation,,1211 Independence Way,,Westminster,MD,21157-0000,United States,N,Y
OSW371044,1097,Mailing,,"3M Company, Inc. Converter Markets",,PO Box 269-F,,St Louis,MO,63150-0269,United States,N,N
OSW371044,1097,Billing,,"3M Company, Inc. Converter Markets",,PO Box 269-F,,St Louis,MO,63150-0269,United States,Y,N
OSW371044,1097,Shipping,,"3M Company, Inc. Converter Markets",,3M Center Building 220-7W-03,,St Paul,MN,55144-1000,United States,N,Y
WIM229535,1098,Mailing,,American Biltrite,,105 Whittendale Drive,,Moorestown,NJ,08057,United States,N,N
WIM229535,1098,Billing,,American Biltrite,,105 Whittendale Drive,,Moorestown,NJ,08057,United States,Y,N
WIM229535,1098,Shipping,,American Biltrite,,105 Whittendale Drive,,Moorestown,NJ,08057,United States,N,Y
TDW838321,1302,Mailing,,Apogee Designs Ltd.,,101 South Kane Street,,Baltimore,MD,21224-0000,United States,N,N
TDW838321,1302,Billing,,Apogee Designs Ltd.,,101 South Kane Street,,Baltimore,MD,21224-0000,United States,Y,N
TDW838321,1302,Shipping,,Apogee Designs Ltd.,,101 South Kane Street,,Baltimore,MD,21224,United States,N,Y
WGQ484129,1303,Mailing,,Arnold Packaging,,3101 Washington Blvd.,,Baltimore,MD,21230-1093,United States,N,N
WGQ484129,1303,Billing,,Arnold Packaging,,1900 Finishing Mill Road,Suite 100,Sparrows Point,MD,21219,United States,Y,N
WGQ484129,1303,Shipping,,Arnold Packaging,,3101 Washington Blvd.,,Baltimore,MD,21230-1093,United States,N,Y
WFW133635,1304,Mailing,,Atlas Container Corporation,,8140 Telegraph Road,,Severn,MD,21144,United States,N,N
WFW133635,1304,Billing,,Atlas Container Corporation,,8140 Telegraph Road,,Severn,MD,21144,United States,Y,N
WFW133635,1304,Shipping,,Atlas Container Corporation,,"8870 Greenwood Place, Suite C",,Savage,MD,20763,United States,N,Y
IAV630762,1305,Mailing,,Fifield Fabrics,,72 Sharp Street,,Hingham,MA,02043-4204,United States,N,N
IAV630762,1305,Billing,,Fifield Fabrics,,72 Sharp Street,,Hingham,MA,02043-4204,United States,Y,N
IAV630762,1305,Shipping,,Fifield Fabrics,,72 Sharp Street,,Hingham,MA,02043-4204,United States,N,Y
IPM272994,1306,Mailing,,"Cantwell-Cleary Co., Inc.",,7575 Washington Blvd.,,Elkridge,MD,21075-0000,United States,N,N
IPM272994,1306,Billing,,"Cantwell-Cleary Co., Inc.",,7575 Washington Blvd.,,Elkridge,MD,21075-0000,United States,Y,N
IPM272994,1306,Shipping,,"Cantwell-Cleary Co., Inc.",,7575 Washington Blvd.,,Elkridge,MD,21075-0000,United States,N,Y
IUT918098,1307,Mailing,,Colony Packaging & Machine,,1776 Colony Road,,York,PA,17408-0000,United States,N,N
IUT918098,1307,Billing,,Colony Packaging & Machine,,1776 Colony Road,,York,PA,17408-0000,United States,Y,N
IUT918098,1307,Shipping,,Colony Packaging & Machine,,1776 Colony Road,,York,PA,17408-0000,United States,N,Y
WSV317131,1308,Mailing,,"Conversource, Inc.",,1510 Page Industrial Blvd.,,St. Louis,MO,63132,United States,N,N
WSV317131,1308,Billing,,"Conversource, Inc.",,1510 Page Industrial Blvd.,,St. Louis,MO,63132,United States,Y,N
WSV317131,1308,Shipping,,"Conversource, Inc.",,1510 Page Industrial Blvd.,,St. Louis,MO,63132,United States,N,Y
TIV508034,1309,Mailing,,"FLEXcon Company, Inc.",,P.O. Box 360813,,Pittsburgh,PA,15251-6813,United States,N,N
TIV508034,1309,Billing,,"FLEXcon Company, Inc.",,P.O. Box 360813,,Pittsburgh,PA,15251-6813,United States,Y,N
TIV508034,1309,Shipping,,"FLEXcon Company, Inc.",,1 FLEXcon Industrial Park,,Spencer,MA,01562-2642,United States,N,Y
IIN275501,1310,Mailing,,Flexprint Graphics,,1017 East Patapsco Avenue,,Baltimore,MD,21225-0000,United States,N,N
IIN275501,1310,Billing,,Flexprint Graphics,,P. O. Box 9026,"6 Yorkway, Suite 104",Baltimore,MD,21222-0000,United States,Y,N
IIN275501,1310,Shipping,,Flexprint Graphics,,"Arcos Industries, LLC",One Arcos Way,Mt. Carmel,PA,17851,United States,N,Y
RSE021905,1311,Mailing,,Gaska Tape Inc.,,PO Box 1968,,Elkhart,IN,46515-0000,United States,N,N
RSE021905,1311,Billing,,Gaska Tape Inc.,,PO Box 1968,,Elkhart,IN,46515-0000,United States,Y,N
RSE021905,1311,Shipping,,Gaska Tape Inc.,,1810 W Lusher,,Elkhart,IN,46515,United States,N,Y
EIM977065,1312,Mailing,,General Rubber,,P.O. Box 12737,,Lexington,KY,40583-2737,United States,N,N
EIM977065,1312,Billing,,General Rubber,,P.O. Box 12737,,Lexington,KY,40583-2737,United States,Y,N
EIM977065,1312,Shipping,,General Rubber,,1016 Majaun Road,,Lexington,KY,40511,United States,N,Y
QSM017537,1313,Mailing,,The Griff Network,,275 Lower Morrisville Road,,Fallsington,PA,19054-0000,United States,N,N
QSM017537,1313,Billing,,The Griff Network,,275 Lower Morrisville Road,,Fallsington,PA,19054-0000,United States,Y,N
QSM017537,1313,Shipping,,The Griff Network,,275 Lower Morrisville Road,,Fallsington,PA,19054,United States,N,Y
UOQ075118,1314,Mailing,,Atlantic Corporation-Duncan,,790 Duncan-Reidville Road,,Duncan,SC,29334-0000,United States,N,N
UOQ075118,1314,Billing,,Atlantic Corporation-Duncan,,806 N. 23rd Street,,Wilmington,NC,28405-0000,United States,Y,N
UOQ075118,1314,Shipping,,Atlantic Corporation-Duncan,,"744 Frontage Road, Suite 100",,Greenville ,SC,29611,United States,N,Y
WSM984583,1315,Mailing,,Hershey Paper Company,,P.O. Box 4247,,Lancaster,PA,17604-4247,United States,N,N
WSM984583,1315,Billing,,Hershey Paper Company,,P.O. Box 4247,,Lancaster,PA,17604-4247,United States,Y,N
WSM984583,1315,Shipping,,Hershey Paper Company,,3650 Hempland Road,,Lancaster,PA,17601,United States,N,Y
RDV820768,1316,Mailing,,"Ideal Tape Co., Inc.",,1400 Middlesex Street,,Lowell,MA,01851-0000,United States,N,N
RDV820768,1316,Billing,,"Ideal Tape Co., Inc.",,105 Whittendale Drive,,Moorestown,NJ,08057-0000,United States,Y,N
RDV820768,1316,Shipping,,"Ideal Tape Co., Inc.",,33 High Street,,Billerica,MA,01821,United States,N,Y
TOT059736,1317,Mailing,,Jarrett Industries,,11511 Cronridge Drive,,Owings Mills,MD,21117-0000,United States,N,N
TOT059736,1317,Billing,,Jarrett Industries,,11511 Cronridge Drive,,Owings Mills,MD,21117-0000,United States,Y,N
TOT059736,1317,Shipping,,Jarrett Industries,,11511 Cronridge Drive,,Owings Mills,MD,21117,United States,N,Y
EDV589478,1318,Mailing,,Maryland Plastics,,251 East Central Avenue,,Federalsburg,MD,21632-0000,United States,N,N
EDV589478,1318,Billing,,Maryland Plastics,,P. O. Box 472,,Federalsburg,MD,21632-0000,United States,Y,N
EDV589478,1318,Shipping,,Maryland Plastics,,251 East Central Avenue,,Federalsburg,MD,21632,United States,N,Y
