External Id,Name,Total process cost(per min),Memo
EXT002,Allied - Complex,2.5,This cost template will be used with run operations on Allied. The costs defined in the template are based on estimations for a complex run.
EXT002,Allied - Complex,2.5,This cost template will be used with setup operations on Allied. The costs defined in the template are based on estimations for a complex setup.
EXT003,Allied - Normal,2.166666667,This cost template will be used with run operations on Allied. The costs defined in the template are based on estimations for a normal run.
EXT003,Allied - Normal,2.166666667,This cost template will be used with setup operations on Allied. The costs defined in the template are based on estimations for a normal setup.
EXT004,Allied - Simple,1.833333333,This cost template will be used with run operations on Allied. The costs defined in the template are based on estimations for a simple run.
EXT004,Allied - Simple,1.833333333,This cost template will be used with setup operations on Allied. The costs defined in the template are based on estimations for a simple setup.
EXT005,Azco,1.5,This cost template will be used with run operations on Azco. The costs defined in the template are based on estimations for all runs.
EXT005,Azco,1.5,This cost template will be used with setup operations on Azco. The costs defined in the template are based on estimations for all setups.
EXT006,Bunch Fan Folder,1.5,This cost template will be used with run operations on Bunch Fan Folder. The costs defined in the template are based on estimations for all runs.
EXT006,Bunch Fan Folder,1.5,This cost template will be used with setup operations on Bunch Fan Folder. The costs defined in the template are based on estimations for all setups.
EXT007,CatBridge,2.166666667,This cost template will be used with run operations on CatBridge. The costs defined in the template are based on estimations for all runs.
EXT007,CatBridge,2.166666667,This cost template will be used with setup operations on CatBridge. The costs defined in the template are based on estimations for all setups.
EXT008,CEI,1.5,This cost template will be used with run operations on CEI. The costs defined in the template are based on estimations for all runs.
EXT008,CEI,1.5,This cost template will be used with setup operations on CEI. The costs defined in the template are based on estimations for all setups.
EXT009,Cevenini,1.5,This cost template will be used with run operations on Cevenini. The costs defined in the template are based on estimations for all runs.
EXT009,Cevenini,1.5,This cost template will be used with setup operations on Cevenini. The costs defined in the template are based on estimations for all setups.
EXT010,Contech,1.5,This cost template will be used with run operations on Contech. The costs defined in the template are based on estimations for all runs.
EXT010,Contech,1.5,This cost template will be used with setup operations on Contech. The costs defined in the template are based on estimations for all setups.
EXT011,Core Cutter,1.333333333,This cost template will be used with run operations on Core Cutter. The costs defined in the template are based on estimations for all runs.
EXT011,Core Cutter,1.333333333,This cost template will be used with setup operations on Core Cutter. The costs defined in the template are based on estimations for all setups.
