External Id,Cost Category Id- Line,Item Internal Id - Line 
EXT002,7,238
EXT002,12,328
EXT003,7,6021
EXT003,12,6025
EXT004,7,242
EXT004,12,244
EXT005,7,6022
EXT005,12,6024
EXT006,7,6022
EXT006,12,6024
EXT007,7,6021
EXT007,12,6025
EXT008,7,6022
EXT008,12,6024
EXT009,7,6022
EXT009,12,6024
EXT010,7,6022
EXT010,12,6024
EXT011,7,6023
EXT011,12,6027
EXT012,7,240
EXT012,12,6026
EXT013,7,238
EXT013,12,328
EXT014,7,242
EXT014,12,244
EXT015,7,6021
EXT015,12,6025
EXT016,7,240
EXT016,12,6026
EXT017,7,240
EXT017,12,6026
EXT018,7,6023
EXT018,12,6027
EXT019,7,6022
EXT019,12,6024
EXT020,7,238
EXT020,12,328
EXT021,7,6021
EXT021,12,6025
EXT022,7,242
EXT022,12,244
EXT023,7,238
EXT023,12,328
EXT024,7,6021
EXT024,12,6025
EXT025,7,242
EXT025,12,244
EXT026,7,6023
EXT026,12,6027
EXT027,7,238
EXT027,12,328
EXT028,7,6021
EXT028,12,6025
EXT030,7,242
EXT030,12,244
EXT031,7,6023
EXT031,12,6027
EXT032,7,6023
EXT032,12,6027
EXT033,7,6023
EXT033,12,6027
